name,year,genre,runtime,rating,num_votes,revenue,director,actor1,actor2,actor3,rated
tomorrow never dies,1997,Action,119,6.4,126216,125000000.0,Roger Spottiswoode,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,PG_13
terminator salvation,2009,Action,115,6.7,237976,125000000.0,McG,Christian Bale,Sam Worthington,Anton Yelchin,R
lone survivor,2013,Action,121,7.6,140968,125000000.0,Peter Berg,Mark Wahlberg,Taylor Kitsch,Emile Hirsch,R
the vow,2012,Drama,104,6.8,107970,125000000.0,Michael Sucsy,Rachel McAdams,Channing Tatum,Sam Neill,PG_13
life of pi,2012,Adventure,127,8,336199,125000000.0,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,PG
cloudy with a chance of meatballs,2009,Animation,90,7,117673,125000000.0,Phil Lord,Christopher Miller,Anna Faris,Bill Hader,PG
the fault in our stars,2014,Drama,126,8.1,134180,125000000.0,Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,PG_13
the devil wears prada,2006,Comedy,109,6.8,223964,125000000.0,David Frankel,Anne Hathaway,Meryl Streep,Adrian Grenier,PG_13
traffic,2000,Crime,147,7.7,155760,124000000.0,Steven Soderbergh,Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones,R
city slickers,1991,Comedy,113,6.7,35140,124000000.0,Ron Underwood,Billy Crystal,Jack Palance,Daniel Stern,PG_13
the birdcage,1996,Comedy,117,6.9,54724,124000000.0,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,R
nutty professor ii: the klumps,2000,Comedy,106,4.3,34741,123000000.0,Peter Segal,Eddie Murphy,Janet Jackson,Larry Miller,UNRATED
rango,2011,Animation,107,7.3,148925,123000000.0,Gore Verbinski,Johnny Depp,Isla Fisher,Timothy Olyphant,PG
g.i. joe: retaliation,2013,Action,110,5.8,121422,123000000.0,Jon M. Chu,Dwayne Johnson,Channing Tatum,Adrianne Palicki,PG_13
clear and present danger,1994,Action,141,6.9,59484,122000000.0,Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,PG_13
the hunt for red october,1990,Action,134,7.6,125329,122000000.0,John McTiernan,Sean Connery,Alec Baldwin,Scott Glenn,PG
the bodyguard,1992,Action,129,6,74772,122000000.0,Mick Jackson,Kevin Costner,Whitney Houston,Gary Kemp,R
the bourne identity,2002,Action,119,7.9,329325,121000000.0,Doug Liman,Franka Potente,Matt Damon,Chris Cooper,PG_13
superbad,2007,Comedy,113,7.6,359154,121000000.0,Greg Mottola,Michael Cera,Jonah Hill,Christopher Mintz-Plasse,R
speed,1994,Action,116,7.2,223326,121000000.0,Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,R
50 first dates,2004,Comedy,99,6.8,224315,121000000.0,Peter Segal,Adam Sandler,Drew Barrymore,Rob Schneider,R
mulan,1998,Animation,88,7.5,125102,121000000.0,Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,G
inglourious basterds,2009,Adventure,153,8.3,644118,121000000.0,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,R
seabiscuit,2003,Drama,140,7.3,52904,120000000.0,Gary Ross,Tobey Maguire,Jeff Bridges,Elizabeth Banks,PG_13
four christmases,2008,Comedy,88,5.6,40984,120000000.0,Seth Gordon,Reese Witherspoon,Vince Vaughn,Mary Steenburgen,PG_13
van helsing,2004,Action,131,5.9,157126,120000000.0,Stephen Sommers,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,PG_13
the mask,1994,Comedy,101,6.8,212475,120000000.0,Chuck Russell,Jim Carrey,Cameron Diaz,Peter Riegert,TV_PG
cloudy with a chance of meatballs 2,2013,Animation,95,6.5,44534,120000000.0,Cody Cameron,Kris Pearn,Bill Hader,Anna Faris,PG
hook,1991,Adventure,144,6.6,154324,120000000.0,Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,PG
walk the line,2005,Biography,136,7.9,166050,120000000.0,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,PG_13
blazing saddles,1974,Comedy,93,7.8,80597,120000000.0,Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens,R
g-force,2009,Action,88,5.1,28832,119000000.0,Hoyt Yeatman,Will Arnett,PenÃ©lope Cruz,Zach Galifianakis,PG
total recall,1990,Action,113,7.5,202546,119000000.0,Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,R
total recall,2012,Action,118,6.3,172937,119000000.0,Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,R
on golden pond,1981,Drama,109,7.7,18746,119000000.0,Mark Rydell,Katharine Hepburn,Henry Fonda,Jane Fonda,TV_14
the other guys,2010,Action,107,6.6,155046,119000000.0,Adam McKay,Will Ferrell,Mark Wahlberg,Derek Jeter,TV_MA
hairspray,2007,Comedy,117,6.8,83777,119000000.0,Adam Shankman,John Travolta,Queen Latifah,Nikki Blonsky,PG
hairspray,1988,Comedy,92,6.9,14034,119000000.0,Adam Shankman,John Travolta,Queen Latifah,Nikki Blonsky,PG
the break-up,2006,Comedy,106,5.8,87714,119000000.0,Peyton Reed,Jennifer Aniston,Vince Vaughn,Jon Favreau,PG_13
back to the future part ii,1989,Adventure,108,7.8,247016,118000000.0,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,PG
the sum of all fears,2002,Action,124,6.4,77410,118000000.0,Phil Alden Robinson,Ben Affleck,Morgan Freeman,Ian Mongrain,PG_13
salt,2010,Action,100,6.4,209677,118000000.0,Phillip Noyce,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,TV_MA
blades of glory,2007,Comedy,93,6.4,107964,118000000.0,Josh Gordon,Will Speck,Will Ferrell,Jon Heder,PG_13
basic instinct,1992,Drama,127,6.9,112994,118000000.0,Paul Verhoeven,Michael Douglas,Sharon Stone,George Dzundza,UNRATED
now you see me,2013,Crime,115,7.3,337728,118000000.0,Louis Leterrier,Jesse Eisenberg,Common,Mark Ruffalo,PG_13
die hard 2,1990,Action,124,7.1,222309,118000000.0,Renny Harlin,Bruce Willis,William Atherton,Bonnie Bedelia,R
horrible bosses,2011,Comedy,98,6.9,288241,118000000.0,Seth Gordon,Jason Bateman,Charlie Day,Jason Sudeikis,R
rocky,1976,Drama,119,8.1,276169,117000000.0,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,PG
jackass 3d,2010,Action,95,7.1,41784,117000000.0,Jeff Tremaine,Johnny Knoxville,Steve-O,Bam Margera,R
the wolf of wall street,2013,Biography,180,8.3,469695,117000000.0,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,R
double jeopardy,1999,Crime,105,6.3,50122,117000000.0,Bruce Beresford,Ashley Judd,Tommy Lee Jones,Bruce Greenwood,R
8 mile,2002,Drama,110,6.9,150232,117000000.0,Curtis Hanson,Eminem,Brittany Murphy,Kim Basinger,R
s.w.a.t.,2003,Action,117,6,106393,117000000.0,Clark Johnson,Samuel L. Jackson,Colin Farrell,Michelle Rodriguez,PG_13
green lantern,2011,Action,114,5.7,186649,117000000.0,Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,PG_13
notting hill,1999,Comedy,124,7,166526,116000000.0,Roger Michell,Hugh Grant,Julia Roberts,Richard McCabe,PG_13
the towering inferno,1974,Action,165,6.9,26092,116000000.0,John Guillermin,Paul Newman,Steve McQueen,William Holden,PG
ghost rider,2007,Action,114,5.2,152116,116000000.0,Mark Steven Johnson,Nicolas Cage,Eva Mendes,Sam Elliott,PG_13
remember the titans,2000,Biography,113,7.7,137115,116000000.0,Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,UNRATED
district 9,2009,Action,112,8,450103,116000000.0,Neill Blomkamp,Sharlto Copley,David James,Jason Cope,R
american graffiti,1973,Comedy,110,7.5,56219,115000000.0,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,PG
big,1988,Comedy,104,7.3,126011,115000000.0,Penny Marshall,Tom Hanks,Elizabeth Perkins,Robert Loggia,PG
dodgeball: a true underdog story,2004,Comedy,92,6.7,150637,114000000.0,Rawson Marshall Thurber,Ben Stiller,Christine Taylor,Vince Vaughn,UNRATED
the village,2004,Drama,108,6.5,167104,114000000.0,M. Night Shyamalan,Sigourney Weaver,William Hurt,Joaquin Phoenix,PG_13
bolt,2008,Animation,96,7,119476,114000000.0,Byron Howard,Chris Williams,John Travolta,Miley Cyrus,PG
wild wild west,1999,Action,106,4.8,114859,114000000.0,Barry Sonnenfeld,Will Smith,Kevin Kline,Kenneth Branagh,PG_13
magic mike,2012,Comedy,110,6.1,81835,114000000.0,Steven Soderbergh,Channing Tatum,Alex Pettyfer,Olivia Munn,R
the addams family,1991,Comedy,99,6.8,81890,114000000.0,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Christopher Lloyd,PG_13
the patriot,2000,Action,165,7.1,175408,113000000.0,Roland Emmerich,Mel Gibson,Heath Ledger,Joely Richardson,UNRATED
the patriot,1998,Action,90,4.1,9097,113000000.0,Roland Emmerich,Mel Gibson,Heath Ledger,Joely Richardson,UNRATED
the bourne legacy,2012,Action,135,6.7,187654,113000000.0,Tony Gilroy,Jeremy Renner,Rachel Weisz,Edward Norton,PG_13
the pacifier,2005,Action,95,5.5,53926,113000000.0,Adam Shankman,Vin Diesel,Brittany Snow,Max Thieriot,PG
dr. dolittle 2,2001,Comedy,87,4.6,29595,113000000.0,Steve Carr,Eddie Murphy,Cedric the Entertainer,Kristen Wilson,PG
spy kids,2001,Action,88,5.4,70375,113000000.0,Robert Rodriguez,Alexa PenaVega,Daryl Sabara,Antonio Banderas,PG
ghostbusters ii,1989,Comedy,108,6.5,111461,112000000.0,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,TV_PG
face/off,1997,Action,138,7.3,242808,112000000.0,John Woo,John Travolta,Nicolas Cage,Joan Allen,R
the hangover part iii,2013,Comedy,100,5.9,159739,112000000.0,Todd Phillips,Bradley Cooper,Zach Galifianakis,Ed Helms,R
twins,1988,Comedy,107,5.9,72081,112000000.0,Ivan Reitman,Arnold Schwarzenegger,Danny DeVito,Kelly Preston,PG
spy kids 3-d: game over,2003,Action,84,4.1,32925,112000000.0,Robert Rodriguez,Daryl Sabara,Alexa PenaVega,Antonio Banderas,PG
doctor zhivago,1965,Drama,197,8,49206,112000000.0,David Lean,Omar Sharif,Julie Christie,Geraldine Chaplin,APPROVED
enemy of the state,1998,Action,132,7.3,165077,112000000.0,Tony Scott,Will Smith,Gene Hackman,Jon Voight,R
the last samurai,2003,Action,154,7.7,264144,111000000.0,Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,R
tropic thunder,2008,Action,107,7,259318,110000000.0,Ben Stiller,Ben Stiller,Jack Black,Robert Downey Jr.,R
fun with dick and jane,2005,Comedy,90,6.1,96380,110000000.0,Dean Parisot,Jim Carrey,TÃ©a Leoni,Alec Baldwin,PG_13
freaky friday,2003,Comedy,97,6.1,80674,110000000.0,Mark Waters,Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,PG
freaky friday,1976,Comedy,95,6.3,8245,110000000.0,Mark Waters,Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,PG
the grudge,2004,Horror,92,5.9,95389,110000000.0,Takashi Shimizu,Sarah Michelle Gellar,Jason Behr,Clea DuVall,UNRATED
scary movie 3,2003,Comedy,84,5.4,95563,110000000.0,David Zucker,Anna Faris,Charlie Sheen,Regina Hall,UNRATED
bedtime stories,2008,Comedy,99,6.1,62700,110000000.0,Adam Shankman,Adam Sandler,Keri Russell,Courteney Cox,PG
the little mermaid,1989,Animation,83,7.6,127438,110000000.0,Ron Clements,John Musker,Jodi Benson,Samuel E. Wright,G
star trek iv: the voyage home,1986,Action,119,7.3,52221,110000000.0,Leonard Nimoy,William Shatner,Leonard Nimoy,DeForest Kelley,PG
crocodile dundee ii,1988,Action,108,5.4,39474,109000000.0,John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,PG
the 40-year-old virgin,2005,Comedy,116,7.2,258432,109000000.0,Judd Apatow,Steve Carell,Catherine Keener,Paul Rudd,R
couples retreat,2009,Comedy,113,5.5,73376,109000000.0,Peter Billingsley,Vince Vaughn,Malin Akerman,Jon Favreau,R
a time to kill,1996,Crime,149,7.4,82693,109000000.0,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,R
black hawk down,2001,Drama,144,7.7,246474,109000000.0,Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore,R
terms of endearment,1983,Comedy,132,7.4,33713,108000000.0,James L. Brooks,Shirley MacLaine,Debra Winger,Jack Nicholson,R
ace ventura: when nature calls,1995,Adventure,90,6.2,130901,108000000.0,Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,PG_13
the princess diaries,2001,Comedy,115,6.1,72512,108000000.0,Garry Marshall,Julie Andrews,Anne Hathaway,Hector Elizondo,G
superman ii,1980,Action,127,6.8,61970,108000000.0,Richard Lester,Gene Hackman,Christopher Reeve,Margot Kidder,PG
hop,2011,Animation,95,5.5,20432,108000000.0,Tim Hill,Russell Brand,James Marsden,Elizabeth Perkins,PG
pulp fiction,1994,Crime,154,9,1024432,108000000.0,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,R
paranormal activity,2007,Horror,86,6.4,156155,108000000.0,Oren Peli,Katie Featherston,Micah Sloat,Mark Fredrichs,R
epic,2013,Animation,102,6.7,69694,108000000.0,Chris Wedge,Amanda Seyfried,Josh Hutcherson,BeyoncÃ© Knowles,PG
watchmen,2009,Action,162,7.6,325071,108000000.0,Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,R
a league of their own,1992,Comedy,128,7.2,61848,107000000.0,Penny Marshall,Tom Hanks,Geena Davis,Lori Petty,PG
captain phillips,2013,Biography,134,7.9,251963,107000000.0,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,PG_13
black swan,2010,Drama,108,8,456676,107000000.0,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,R
miss congeniality,2000,Action,109,6.1,111483,107000000.0,Donald Petrie,Sandra Bullock,Michael Caine,Benjamin Bratt,PG_13
chicken run,2000,Animation,84,7.1,116834,107000000.0,Peter Lord,Nick Park,Mel Gibson,Julia Sawalha,G
analyze this,1999,Comedy,103,6.7,109733,107000000.0,Harold Ramis,Robert De Niro,Billy Crystal,Lisa Kudrow,R
goldeneye,1995,Action,130,7.2,170283,107000000.0,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,PG_13
indecent proposal,1993,Drama,117,5.7,40242,107000000.0,Adrian Lyne,Robert Redford,Demi Moore,Woody Harrelson,R
driving miss daisy,1989,Comedy,99,7.4,57842,107000000.0,Bruce Beresford,Morgan Freeman,Jessica Tandy,Dan Aykroyd,PG
love story,1970,Drama,99,6.9,20110,106000000.0,Arthur Hiller,Ali MacGraw,Ryan O'Neal,John Marley,NULL
300: rise of an empire,2014,Action,102,6.3,156411,106000000.0,Noam Murro,Sullivan Stapleton,Eva Green,Lena Headey,R
kramer vs. kramer,1979,Drama,105,7.8,81238,106000000.0,Robert Benton,Dustin Hoffman,Meryl Streep,Jane Alexander,APPROVED
the italian job,2003,Action,111,7,245242,106000000.0,F. Gary Gray,Donald Sutherland,Mark Wahlberg,Edward Norton,PG_13
the italian job,1969,Action,99,7.4,26415,106000000.0,F. Gary Gray,Donald Sutherland,Mark Wahlberg,Edward Norton,PG_13
every which way but loose,1978,Action,110,6.2,14516,106000000.0,James Fargo,Clint Eastwood,Sondra Locke,Geoffrey Lewis,PG
how to lose a guy in 10 days,2003,Comedy,116,6.3,122420,106000000.0,Donald Petrie,Kate Hudson,Matthew McConaughey,Adam Goldberg,PG_13
the first wives club,1996,Comedy,103,6.1,27278,105000000.0,Hugh Wilson,Goldie Hawn,Bette Midler,Diane Keaton,PG
interview with the vampire: the vampire chronicles,1994,Horror,123,7.6,207762,105000000.0,Neil Jordan,Brad Pitt,Tom Cruise,Antonio Banderas,R
george of the jungle,1997,Action,92,5.4,48781,105000000.0,Sam Weisman,Brendan Fraser,Leslie Mann,Thomas Haden Church,PG
robin hood,2010,Action,140,6.7,182428,105000000.0,Ridley Scott,Russell Crowe,Cate Blanchett,Matthew Macfadyen,PG_13
robin hood,1973,Animation,83,7.6,63278,105000000.0,Ridley Scott,Russell Crowe,Cate Blanchett,Matthew Macfadyen,PG_13
robin hood,1991,Action,104,5.9,3233,105000000.0,Ridley Scott,Russell Crowe,Cate Blanchett,Matthew Macfadyen,PG_13
phenomenon,1996,Drama,123,6.4,57366,105000000.0,Jon Turteltaub,John Travolta,Kyra Sedgwick,Forest Whitaker,PG
the chronicles of narnia: the voyage of the dawn treader,2010,Adventure,113,6.4,84221,104000000.0,Michael Apted,Ben Barnes,Skandar Keynes,Georgie Henley,PG
the princess and the frog,2009,Animation,97,7.2,72455,104000000.0,Ron Clements,John Musker,Anika Noni Rose,Keith David,G
american wedding,2003,Comedy,96,6.3,138575,104000000.0,Jesse Dylan,Jason Biggs,Alyson Hannigan,Seann William Scott,UNRATED
daddy day care,2003,Comedy,92,5.5,41891,104000000.0,Steve Carr,Eddie Murphy,Jeff Garlin,Anjelica Huston,PG
road to perdition,2002,Crime,117,7.8,175648,104000000.0,Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,R
paranormal activity 3,2011,Horror,83,5.9,65968,104000000.0,Henry Joost,Ariel Schulman,Chloe Csengery,Jessica Tyler Brown,R
journey 2: the mysterious island,2012,Action,94,5.8,55248,104000000.0,Brad Peyton,Josh Hutcherson,Dwayne Johnson,Michael Caine,PG
dick tracy,1990,Action,105,6.1,42726,104000000.0,Warren Beatty,Warren Beatty,Madonna,Al Pacino,PG
rise of the guardians,2012,Animation,97,7.3,96526,103000000.0,Peter Ramsey,Hugh Jackman,Alec Baldwin,Isla Fisher,PG
dreamgirls,2006,Drama,130,6.6,46735,103000000.0,Bill Condon,BeyoncÃ© Knowles,Jamie Foxx,Eddie Murphy,PG_13
nine to five,1980,Comedy,110,6.6,16584,103000000.0,Colin Higgins,Jane Fonda,Lily Tomlin,Dolly Parton,PG
just go with it,2011,Comedy,117,6.4,140081,103000000.0,Dennis Dugan,Adam Sandler,Jennifer Aniston,Brooklyn Decker,PG_13
scream,1996,Horror,111,7.2,188168,103000000.0,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,R
the expendables,2010,Action,103,6.5,220182,103000000.0,Sylvester Stallone,Sylvester Stallone,Jason Statham,Jet Li,R
jaws 2,1978,Horror,116,5.7,42808,103000000.0,Jeannot Szwarc,Roy Scheider,Lorraine Gary,Murray Hamilton,PG
the aviator,2004,Biography,170,7.5,216340,103000000.0,Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,PG_13
the girl with the dragon tattoo,2011,Crime,158,7.9,273790,103000000.0,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,R
the girl with the dragon tattoo,2009,Crime,152,7.8,151063,103000000.0,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,R
in the line of fire,1993,Action,128,7.2,66133,102000000.0,Wolfgang Petersen,Clint Eastwood,John Malkovich,Rene Russo,R
butch cassidy and the sundance kid,1969,Biography,110,8.2,121491,102000000.0,George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,NULL
mary poppins,1964,Comedy,139,7.8,84988,102000000.0,Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,APPROVED
the mummy: tomb of the dragon emperor,2008,Action,112,5.2,97162,102000000.0,Rob Cohen,Brendan Fraser,Jet Li,Maria Bello,PG_13
jackass presents: bad grandpa,2013,Comedy,92,6.6,65234,102000000.0,Jeff Tremaine,Johnny Knoxville,Jackson Nicoll,Greg Harris,R
pacific rim,2013,Action,132,7,294462,102000000.0,Guillermo del Toro,Idris Elba,Charlie Hunnam,Rinko Kikuchi,PG_13
american pie,1999,Comedy,95,7,273815,102000000.0,Paul Weitz,Jason Biggs,Chris Klein,Thomas Ian Nicholas,R
journey to the center of the earth,2008,Action,93,5.8,67836,102000000.0,Eric Brevig,Brendan Fraser,Josh Hutcherson,Anita Briem,PG_13
journey to the center of the earth,1959,Adventure,132,7,9476,102000000.0,Eric Brevig,Brendan Fraser,Josh Hutcherson,Anita Briem,PG_13
gone in sixty seconds,2000,Action,118,6.4,188059,102000000.0,Dominic Sena,Nicolas Cage,Angelina Jolie,Giovanni Ribisi,UNRATED
maverick,1994,Action,127,7,70276,102000000.0,Richard Donner,Mel Gibson,Jodie Foster,James Garner,PG
sleeping with the enemy,1991,Crime,99,6.1,30768,102000000.0,Joseph Ruben,Julia Roberts,Patrick Bergin,Kevin Anderson,R
stir crazy,1980,Comedy,111,6.8,15875,102000000.0,Sidney Poitier,Gene Wilder,Richard Pryor,Georg Stanford Brown,R
this is the end,2013,Comedy,107,6.8,239711,101000000.0,Evan Goldberg,Seth Rogen,James Franco,Jonah Hill,R
scream 2,1997,Horror,120,6.1,106951,101000000.0,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,R
eraser,1996,Action,115,6,71529,101000000.0,Chuck Russell,Arnold Schwarzenegger,Vanessa Williams,James Caan,R
the prince of egypt,1998,Animation,99,6.9,76197,101000000.0,Brenda Chapman,Steve Hickner,Val Kilmer,Ralph Fiennes,PG
noah,2014,Action,138,6,141303,101000000.0,Darren Aronofsky,Russell Crowe,Jennifer Connelly,Anthony Hopkins,PG_13
unforgiven,1992,Western,131,8.3,225060,101000000.0,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,R
eagle eye,2008,Action,118,6.6,133852,101000000.0,D.J. Caruso,Shia LaBeouf,Michelle Monaghan,Rosario Dawson,PG_13
con air,1997,Action,115,6.8,192638,101000000.0,Simon West,Nicolas Cage,John Cusack,John Malkovich,R
sleepy hollow,1999,Drama,105,7.4,226788,101000000.0,Tim Burton,Johnny Depp,Christina Ricci,Miranda Richardson,R
contact,1997,Drama,150,7.4,167400,101000000.0,Robert Zemeckis,Jodie Foster,Matthew McConaughey,Tom Skerritt,PG
the pelican brief,1993,Crime,141,6.5,50952,101000000.0,Alan J. Pakula,Julia Roberts,Denzel Washington,Sam Shepard,PG_13
vanilla sky,2001,Fantasy,136,6.9,181555,101000000.0,Cameron Crowe,Tom Cruise,PenÃ©lope Cruz,Cameron Diaz,R
the maze runner,2014,Action,113,7.2,78458,100000000.0,Wes Ball,Dylan O'Brien,Kaya Scodelario,Will Poulter,PG_13
the rugrats movie,1998,Animation,79,5.8,11625,100000000.0,Igor Kovalyov,Norton Virgien,Elizabeth Daily,Christine Cavanaugh,G
airport,1970,Drama,137,6.6,11385,100000000.0,George Seaton,Burt Lancaster,Dean Martin,George Kennedy,G
step brothers,2008,Comedy,98,6.9,175791,100000000.0,Adam McKay,Will Ferrell,John C. Reilly,Mary Steenburgen,R
due date,2010,Comedy,95,6.6,237814,100000000.0,Todd Phillips,Robert Downey Jr.,Zach Galifianakis,Michelle Monaghan,R
million dollar baby,2004,Drama,132,8.1,373240,100000000.0,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,PG_13
casper,1995,Comedy,100,6,72070,100000000.0,Brad Silberling,Bill Pullman,Christina Ricci,Cathy Moriarty,PG
bad teacher,2011,Comedy,92,5.7,136060,100000000.0,Jake Kasdan,Cameron Diaz,Jason Segel,Justin Timberlake,R
evan almighty,2007,Comedy,96,5.4,101689,100000000.0,Tom Shadyac,Steve Carell,Morgan Freeman,Lauren Graham,PG
shakespeare in love,1998,Comedy,123,7.2,151602,100000000.0,John Madden,Gwyneth Paltrow,Joseph Fiennes,Geoffrey Rush,R
jumanji,1995,Adventure,104,6.8,158726,100000000.0,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,PG
edge of tomorrow,2014,Action,113,8,224258,100000000.0,Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,PG_13
yogi bear,2010,Animation,80,4.5,14145,100000000.0,Eric Brevig,Dan Aykroyd,Justin Timberlake,Anna Faris,PG
se7en,1995,Drama,127,8.7,780257,100000000.0,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,R
the hunchback of notre dame,1996,Animation,91,6.9,76025,100000000.0,Gary Trousdale,Kirk Wise,Demi Moore,Jason Alexander,G
parenthood,1989,Comedy,124,7,32152,100000000.0,Ron Howard,Steve Martin,Mary Steenburgen,Dianne Wiest,PG_13
die hard: with a vengeance,1995,Action,131,7.6,253353,100000000.0,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,R
collateral,2004,Crime,120,7.6,256367,100000000.0,Michael Mann,Tom Cruise,Jamie Foxx,Jada Pinkett Smith,R
the equalizer,2014,Action,132,7.5,41562,99300000.0,Antoine Fuqua,Denzel Washington,Marton Csokas,ChloÃ« Grace Moretz,R
hercules,1997,Animation,93,7.2,102956,99000000.0,Ron Clements,John Musker,Tate Donovan,Susan Egan,G
hercules,2014,Action,98,6.2,62282,99000000.0,Ron Clements,John Musker,Tate Donovan,Susan Egan,G
olympus has fallen,2013,Action,119,6.5,158133,98900000.0,Antoine Fuqua,Gerard Butler,Aaron Eckhart,Morgan Freeman,R
the green hornet,2011,Action,119,5.9,120174,98800000.0,Michel Gondry,Seth Rogen,Jay Chou,Christoph Waltz,PG_13
date night,2010,Comedy,88,6.3,110446,98700000.0,Shawn Levy,Steve Carell,Tina Fey,Mark Wahlberg,PG_13
meet the robinsons,2007,Animation,95,6.9,54212,97800000.0,Stephen J. Anderson,Daniel Hansen,Wesley Singerman,Angela Bassett,G
yes man,2008,Comedy,104,6.9,233901,97700000.0,Peyton Reed,Jim Carrey,Zooey Deschanel,Bradley Cooper,PG_13
inspector gadget,1999,Action,78,4.1,31507,97400000.0,David Kellogg,Matthew Broderick,Rupert Everett,Joely Fisher,PG
public enemies,2009,Biography,140,7,196538,97000000.0,Michael Mann,Christian Bale,Johnny Depp,James Russo,R
the social network,2010,Biography,120,7.8,373370,96900000.0,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,PG_13
the others,2001,Horror,101,7.6,230590,96500000.0,Alejandro AmenÃ¡bar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,PG_13
dead poets society,1989,Drama,128,8,234852,95900000.0,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,PG
zero dark thirty,2012,Drama,157,7.4,180419,95700000.0,Kathryn Bigelow,Jessica Chastain,Joel Edgerton,Chris Pratt,R
cold mountain,2003,Drama,154,7.2,106276,95600000.0,Anthony Minghella,Jude Law,Nicole Kidman,RenÃ©e Zellweger,R
arthur,2011,Comedy,110,5.8,41566,95500000.0,Steve Gordon,Dudley Moore,Liza Minnelli,John Gielgud,PG
arthur,1981,Comedy,97,6.9,19434,95500000.0,Steve Gordon,Dudley Moore,Liza Minnelli,John Gielgud,PG
michael,1996,Comedy,105,5.6,32407,95300000.0,Nora Ephron,John Travolta,Andie MacDowell,William Hurt,PG
michael,2011,Drama,96,7,3120,95300000.0,Nora Ephron,John Travolta,Andie MacDowell,William Hurt,PG
sex and the city 2,2010,Comedy,146,4.2,50159,95300000.0,Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,Kristin Davis,R
norbit,2007,Comedy,102,3.9,44824,95300000.0,Brian Robbins,Eddie Murphy,Thandie Newton,Terry Crews,R
panic room,2002,Drama,112,6.8,175962,95300000.0,David Fincher,Jodie Foster,Kristen Stewart,Forest Whitaker,R
the princess diaries 2: royal engagement,2004,Comedy,113,5.6,39925,95100000.0,Garry Marshall,Anne Hathaway,Callum Blue,Julie Andrews,G
legally blonde,2001,Comedy,96,6.2,102149,95000000.0,Robert Luketic,Reese Witherspoon,Luke Wilson,Selma Blair,PG_13
