name,year,genre,runtime,rating,num_votes,revenue,director,actor1,actor2,actor3,rated
the twilight saga: eclipse,2010,Adventure,124,4.9,156151,301000000.0,David Slade,Kristen Stewart,Robert Pattinson,Taylor Lautner,PG_13
the twilight saga: new moon,2009,Adventure,130,4.6,192387,297000000.0,Chris Weitz,Kristen Stewart,Robert Pattinson,Taylor Lautner,PG_13
harry potter and the deathly hallows: part 1,2010,Adventure,146,7.7,260563,295000000.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,PG_13
the sixth sense,1999,Drama,107,8.2,568428,294000000.0,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,PG_13
up,2009,Animation,96,8.3,485158,293000000.0,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,PG
inception,2010,Action,148,8.8,1087316,293000000.0,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,PG_13
the twilight saga: breaking dawn - part 2,2012,Adventure,115,5.6,151376,292000000.0,Bill Condon,Kristen Stewart,Robert Pattinson,Taylor Lautner,PG_13
harry potter and the order of the phoenix,2007,Adventure,138,7.4,285949,292000000.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,PG_13
man of steel,2013,Action,143,7.3,427906,291000000.0,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,PG_13
star wars: episode v - the empire strikes back,1980,Action,124,8.8,623102,290000000.0,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,PG
harry potter and the goblet of fire,2005,Adventure,157,7.6,311333,290000000.0,Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,PG_13
home alone,1990,Comedy,103,7.4,233744,286000000.0,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,PG
the matrix reloaded,2003,Action,138,7.2,363600,281000000.0,Andy Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,R
the twilight saga: breaking dawn - part 1,2011,Adventure,117,4.9,154656,281000000.0,Bill Condon,Kristen Stewart,Robert Pattinson,Taylor Lautner,PG_13
meet the fockers,2004,Comedy,115,6.3,180982,279000000.0,Jay Roach,Ben Stiller,Robert De Niro,Blythe Danner,TV_14
the hangover,2009,Comedy,100,7.8,471850,277000000.0,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,UNRATED
gravity,2013,Sci-Fi,91,8,444709,274000000.0,Alfonso CuarÃ³n,Sandra Bullock,George Clooney,Ed Harris,PG_13
monsters university,2013,Animation,104,7.4,169811,268000000.0,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,G
shrek,2001,Animation,90,7.9,372692,268000000.0,Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,PG
the amazing spider-man,2012,Action,136,7.1,355362,262000000.0,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,PG_13
harry potter and the chamber of secrets,2002,Adventure,161,7.3,312100,262000000.0,Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,TV_PG
the incredibles,2004,Animation,115,8,372243,261000000.0,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,PG
how the grinch stole christmas,2000,Comedy,104,5.9,112418,260000000.0,Ron Howard,Jim Carrey,Taylor Momsen,Kelley,PG
jaws,1975,Drama,124,8.1,321852,260000000.0,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,TV_14
captain america: the winter soldier,2014,Action,136,7.9,283658,260000000.0,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,PG_13
the hobbit: the desolation of smaug,2013,Adventure,161,8,338901,258000000.0,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,PG_13
the lego movie,2014,Animation,100,7.9,161115,258000000.0,Phil Lord,Christopher Miller,Will Arnett,Elizabeth Banks,PG
star trek,2009,Action,127,8,438049,258000000.0,J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,PG_13
i am legend,2007,Drama,101,7.2,418766,256000000.0,Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan,PG_13
the blind side,2009,Biography,129,7.7,176294,256000000.0,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,PG_13
the hangover part ii,2011,Comedy,102,6.5,301446,254000000.0,Todd Phillips,Bradley Cooper,Zach Galifianakis,Ed Helms,R
despicable me,2010,Animation,95,7.7,282388,252000000.0,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,TV_PG
batman,1989,Action,126,7.6,226128,251000000.0,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,TV_14
night at the museum,2006,Action,108,6.4,179772,251000000.0,Shawn Levy,Ben Stiller,Carla Gugino,Ricky Gervais,PG
men in black,1997,Comedy,98,7.2,323064,250000000.0,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,PG_13
harry potter and the prisoner of azkaban,2004,Adventure,142,7.8,305752,249000000.0,Alfonso CuarÃ³n,Daniel Radcliffe,Emma Watson,Rupert Grint,PG
toy story 2,1999,Animation,92,7.9,304142,246000000.0,John Lasseter,Ash Brannon,Tom Hanks,Tim Allen,G
transformers: age of extinction,2014,Action,165,5.9,156879,245000000.0,Michael Bay,Mark Wahlberg,Nicola Peltz,Jack Reynor,PG_13
