Up,293000000.0,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,PG
Inception,293000000.0,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,PG_13
The Twilight Saga: Breaking Dawn - Part 2,292000000.0,Bill Condon,Kristen Stewart,Robert Pattinson,Taylor Lautner,PG_13
Harry Potter and the Order of the Phoenix,292000000.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,PG_13
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",292000000.0,Andrew Adamson,Tilda Swinton,Georgie Henley,William Moseley,UNRATED
Man of Steel,291000000.0,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,PG_13
Star Wars: Episode V - The Empire Strikes Back,290000000.0,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,PG
Harry Potter and the Goblet of Fire,290000000.0,Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,PG_13
"Monsters, Inc.",290000000.0,Pete Docter,David Silverman,Billy Crystal,John Goodman,TV_PG
Home Alone,286000000.0,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,PG
The Matrix Reloaded,281000000.0,Andy Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,R
The Twilight Saga: Breaking Dawn - Part 1,281000000.0,Bill Condon,Kristen Stewart,Robert Pattinson,Taylor Lautner,PG_13
Meet the Fockers,279000000.0,Jay Roach,Ben Stiller,Robert De Niro,Blythe Danner,TV_14
The Hangover,277000000.0,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,UNRATED
Gravity,274000000.0,Alfonso CuarÃ³n,Sandra Bullock,George Clooney,Ed Harris,PG_13
Monsters University,268000000.0,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,G
Shrek,268000000.0,Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,PG
The Hunger Games: Mockingjay - Part 1,264000000.0,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,PG_13
The Amazing Spider-Man,262000000.0,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,PG_13
Harry Potter and the Chamber of Secrets,262000000.0,Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,TV_PG
The Incredibles,261000000.0,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,PG
How the Grinch Stole Christmas,260000000.0,Ron Howard,Jim Carrey,Taylor Momsen,Kelley,PG
Jaws,260000000.0,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,TV_14
Captain America: The Winter Soldier,260000000.0,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,PG_13
The Hobbit: The Desolation of Smaug,258000000.0,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,PG_13
The Lego Movie,258000000.0,Phil Lord,Christopher Miller,Will Arnett,Elizabeth Banks,PG
Star Trek,258000000.0,J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,PG_13
I Am Legend,256000000.0,Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan,PG_13
The Blind Side,256000000.0,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,PG_13
The Hangover Part II,254000000.0,Todd Phillips,Bradley Cooper,Zach Galifianakis,Ed Helms,R
Despicable Me,252000000.0,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,TV_PG
Batman,251000000.0,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,TV_14
Night at the Museum,251000000.0,Shawn Levy,Ben Stiller,Carla Gugino,Ricky Gervais,PG
Men in Black,250000000.0,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,PG_13
Harry Potter and the Prisoner of Azkaban,249000000.0,Alfonso CuarÃ³n,Daniel Radcliffe,Emma Watson,Rupert Grint,PG
Toy Story 2,246000000.0,John Lasseter,Ash Brannon,Tom Hanks,Tim Allen,G
Transformers: Age of Extinction,245000000.0,Michael Bay,Mark Wahlberg,Nicola Peltz,Jack Reynor,PG_13
Cars,244000000.0,John Lasseter,Joe Ranft,Owen Wilson,Bonnie Hunt,G
Bruce Almighty,243000000.0,Tom Shadyac,Jim Carrey,Jennifer Aniston,Morgan Freeman,PG_13
Twister,242000000.0,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,PG_13
My Big Fat Greek Wedding,241000000.0,Joel Zwick,Nia Vardalos,John Corbett,Michael Constantine,PG
Maleficent,241000000.0,Robert Stromberg,Angelina Jolie,Elle Fanning,Sharlto Copley,PG
Pirates of the Caribbean: On Stranger Tides,241000000.0,Rob Marshall,Johnny Depp,PenÃ©lope Cruz,Ian McShane,PG_13
Fast & Furious 6,239000000.0,Justin Lin,Vin Diesel,Paul Walker,Dwayne Johnson,PG_13
Shrek Forever After,238000000.0,Mike Mitchell,Mike Myers,Cameron Diaz,Eddie Murphy,PG
Brave,237000000.0,Mark Andrews,Brenda Chapman,Kelly Macdonald,Billy Connolly,PG
Oz the Great and Powerful,235000000.0,Sam Raimi,James Franco,Michelle Williams,Rachel Weisz,PG
Beverly Hills Cop,235000000.0,Martin Brest,Eddie Murphy,Judge Reinhold,John Ashton,R
X-Men: The Last Stand,234000000.0,Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,PG_13
War of the Worlds,234000000.0,Steven Spielberg,Tom Cruise,Dakota Fanning,Tim Robbins,PG_13
X-Men: Days of Future Past,234000000.0,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,PG_13
Cast Away,234000000.0,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,PG_13
Ghostbusters,229000000.0,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,TV_PG
The Lost World: Jurassic Park,229000000.0,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,PG_13
