Pirates of the Caribbean: At World&#x27;s End,2007,Action,169,7.1,376894
Trainspotting,1996,Drama,94,8.2,376121
Twelve Monkeys,1995,Mystery,129,8.1,372001
Pan&#x27;s Labyrinth,2006,Drama,118,8.3,371580
The Pianist,2002,Biography,150,8.5,370704
Full Metal Jacket,1987,Drama,116,8.4,370562
Shrek,2001,Animation,90,7.9,369836
The Social Network,2010,Biography,120,7.8,369800
Million Dollar Baby,2004,Drama,132,8.1,369527
Casino Royale,2006,Action,144,8.0,369218
The Incredibles,2004,Animation,115,8.0,368900
The Curious Case of Benjamin Button,2008,Drama,166,7.8,368499
Ted,2012,Comedy,106,7.1,368401
The King&#x27;s Speech,2010,Biography,118,8.1,367914
Ratatouille,2007,Animation,111,8.0,367515
Apocalypse Now,1979,Drama,153,8.5,362415
Drive,2011,Crime,100,7.8,361995
The Matrix Reloaded,2003,Action,138,7.2,361801
Kick-Ass,2010,Action,117,7.8,357296
Superbad,2007,Comedy,113,7.7,357011
Harry Potter and the Sorcerer&#x27;s Stone,2001,Adventure,152,7.4,354115
Independence Day,1996,Action,145,6.9,353155
The Hunger Games: Catching Fire,2013,Adventure,146,7.7,353025
The Amazing Spider-Man,2012,Action,136,7.1,351692
Heat,1995,Action,170,8.3,351352
X-Men,2000,Action,104,7.4,350585
Argo,2012,Drama,120,7.8,349241
Star Wars: Episode II - Attack of the Clones,2002,Action,142,6.8,348517
Fargo,1996,Crime,98,8.2,347793
Juno,2007,Comedy,96,7.6,347500
L.A. Confidential,1997,Crime,138,8.3,343841
World War Z,2013,Action,116,7.0,343616
The Intouchables,2011,Biography,112,8.6,343277
Captain America: The First Avenger,2011,Action,124,6.8,343011
How to Train Your Dragon,2010,Animation,98,8.2,342963
Looper,2012,Action,119,7.5,341768
Groundhog Day,1993,Comedy,101,8.1,340060
Rain Man,1988,Drama,133,8.0,334437
Now You See Me,2013,Crime,115,7.3,334040
Minority Report,2002,Action,145,7.7,333687
The Hobbit: The Desolation of Smaug,2013,Adventure,161,8.0,333667
"Lock, Stock and Two Smoking Barrels",1998,Comedy,107,8.2,333114
Life of Pi,2012,Adventure,127,8.0,332718
12 Angry Men,1957,Drama,96,8.9,330272
Psycho,1960,Horror,109,8.6,328218
Limitless,2011,Mystery,105,7.4,327710
The Bourne Identity,2002,Action,119,7.9,326883
Shaun of the Dead,2004,Comedy,99,8.0,326322
Into the Wild,2007,Adventure,148,8.2,325841
2001: A Space Odyssey,1968,Mystery,160,8.3,324928
Rise of the Planet of the Apes,2011,Action,105,7.6,324292
Blood Diamond,2006,Adventure,143,8.0,323881
Watchmen,2009,Action,162,7.6,323544
X2,2003,Action,134,7.5,322305
Ocean&#x27;s Eleven,2001,Crime,116,7.8,321303
Men in Black,1997,Comedy,98,7.2,320080
Crash,2004,Drama,112,7.9,319846
Jaws,1975,Drama,124,8.1,319135
The Notebook,2004,Drama,123,8.0,316847
Star Trek Into Darkness,2013,Action,132,7.9,316746
"Crazy, Stupid, Love.",2011,Comedy,118,7.5,313177
Cast Away,2000,Adventure,143,7.7,312222
Children of Men,2006,Drama,109,7.9,312060
The Matrix Revolutions,2003,Action,129,6.7,311997
Big Fish,2003,Adventure,125,8.0,311306
Harry Potter and the Chamber of Secrets,2002,Adventure,161,7.3,310206
Spider-Man 2,2004,Action,127,7.4,309584
Harry Potter and the Goblet of Fire,2005,Adventure,157,7.6,309272
Spirited Away,2001,Animation,125,8.6,308721
Monty Python and the Holy Grail,1975,Adventure,91,8.4,308675
Zombieland,2009,Comedy,88,7.7,306163
Harry Potter and the Prisoner of Azkaban,2004,Adventure,142,7.8,303801
21 Jump Street,2012,Action,109,7.2,303769
(500) Days of Summer,2009,Comedy,95,7.8,303507
Troy,2004,Adventure,163,7.2,302532
Life Is Beautiful,1997,Comedy,116,8.6,302485
Toy Story 2,1999,Animation,92,7.9,302332
X-Men: The Last Stand,2006,Action,104,6.8,300113
"I, Robot",2004,Action,115,7.1,299818
Twilight,2008,Drama,122,5.2,299243
The Hangover Part II,2011,Comedy,102,6.5,298735
Source Code,2011,Mystery,93,7.5,298595
Edward Scissorhands,1990,Drama,105,8.0,296962
Little Miss Sunshine,2006,Adventure,101,7.9,296903
Mission: Impossible - Ghost Protocol,2011,Action,133,7.4,296488
There Will Be Blood,2007,Drama,158,8.1,295950
Live Free or Die Hard,2007,Action,128,7.3,294055
The Butterfly Effect,2004,Sci-Fi,113,7.7,293448
Mystic River,2003,Crime,138,8.0,293258
Spider-Man 3,2007,Action,139,6.2,293270
Pacific Rim,2013,Action,132,7.0,290784
American Psycho,2000,Crime,102,7.6,289125
Pirates of the Caribbean: On Stranger Tides,2011,Action,136,6.7,288093
Oblivion,2013,Action,124,7.0,287860
Hot Fuzz,2007,Comedy,121,7.9,287615
American Gangster,2007,Biography,157,7.8,285447
Horrible Bosses,2011,Comedy,98,6.9,284824
X-Men: Days of Future Past,2014,Action,131,8.2,284974
Harry Potter and the Order of the Phoenix,2007,Adventure,138,7.4,284150
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,95,8.5,282502
The Fifth Element,1997,Action,126,7.6,282045
Despicable Me,2010,Animation,95,7.7,278974
Frozen,2013,Animation,102,7.8,278843
Thor: The Dark World,2013,Action,112,7.2,277426
The Bourne Supremacy,2004,Action,108,7.8,276456
War of the Worlds,2005,Adventure,116,6.5,275690
Lost in Translation,2003,Drama,101,7.8,274960
The Great Gatsby,2013,Drama,143,7.3,274959
Captain America: The Winter Soldier,2014,Action,136,7.9,274864
The Mummy,1999,Action,125,7.0,274398
Indiana Jones and the Kingdom of the Crystal Skull,2008,Action,122,6.3,273369
Oldboy,2003,Drama,120,8.4,273375
Rocky,1976,Drama,119,8.1,273293
Armageddon,1998,Action,151,6.6,272893
The Pursuit of Happyness,2006,Biography,117,7.9,272556
American Pie,1999,Comedy,95,7.0,272415
The Girl with the Dragon Tattoo,2011,Crime,158,7.9,271685
King Kong,2005,Action,187,7.3,271458
The Day After Tomorrow,2004,Action,124,6.4,270272
X-Men Origins: Wolverine,2009,Action,107,6.7,270008
Transformers: Dark of the Moon,2011,Action,154,6.3,269383
12 Years a Slave,2013,Biography,134,8.2,269616
The Perks of Being a Wallflower,2012,Drama,102,8.1,268048
Mr. &#x26; Mrs. Smith,2005,Action,120,6.5,265632
The Incredible Hulk,2008,Action,112,6.9,265324
Transformers: Revenge of the Fallen,2009,Action,150,6.0,264558
Sherlock Holmes: A Game of Shadows,2011,Action,129,7.5,263680
Love Actually,2003,Comedy,135,7.7,263266
The Last Samurai,2003,Action,154,7.7,262133
The Hurt Locker,2008,Drama,131,7.6,261972
American Hustle,2013,Crime,138,7.4,260536
Hancock,2008,Action,92,6.5,260361
In Bruges,2008,Comedy,107,8.0,260207
Casino,1995,Biography,178,8.2,259644
Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,146,7.7,258677
Quantum of Solace,2008,Action,106,6.7,258493
Tropic Thunder,2008,Action,107,7.0,257667
Knocked Up,2007,Comedy,129,7.1,256823
The 40-Year-Old Virgin,2005,Comedy,116,7.2,256576
Wanted,2008,Action,110,6.7,256459
The Da Vinci Code,2006,Mystery,149,6.5,256139
Ice Age,2002,Animation,81,7.6,256077
Borat,2006,Comedy,84,7.3,255597
Gangs of New York,2002,Crime,167,7.5,255355
Collateral,2004,Crime,120,7.6,255204
Training Day,2001,Crime,122,7.7,254711
Charlie and the Chocolate Factory,2005,Adventure,115,6.7,254553
Die Hard: With a Vengeance,1995,Action,131,7.6,252299
Indiana Jones and the Temple of Doom,1984,Action,118,7.6,252167
The Help,2011,Drama,146,8.1,251864
Harry Potter and the Half-Blood Prince,2009,Adventure,153,7.5,251350
Super 8,2011,Mystery,112,7.1,250474
Rear Window,1954,Mystery,112,8.6,250445
28 Days Later...,2002,Horror,113,7.6,250376
Alice in Wonderland,2010,Adventure,108,6.5,248702
Warrior,2011,Drama,140,8.2,248483
Captain Phillips,2013,Biography,134,7.9,248476
Saw,2004,Horror,103,7.7,247444
Shrek 2,2004,Animation,93,7.3,246892
Midnight in Paris,2011,Comedy,94,7.7,246698
Cloverfield,2008,Action,85,7.1,246204
Prisoners,2013,Crime,153,8.1,245571
Guardians of the Galaxy,2014,Action,121,8.5,246979
The Exorcist,1973,Horror,122,8.0,245249
Back to the Future Part II,1989,Adventure,108,7.8,244952
Black Hawk Down,2001,Drama,144,7.7,244935
The Italian Job,2003,Action,111,7.0,243994
Moneyball,2011,Biography,133,7.6,243673
The Illusionist,2006,Drama,110,7.6,243417
Predator,1987,Action,107,7.9,243390
Terminator 3: Rise of the Machines,2003,Action,109,6.4,243218
The Terminal,2004,Comedy,128,7.3,243041
Elysium,2013,Action,109,6.7,243089
The Wolverine,2013,Action,126,6.8,242888
In Time,2011,Action,109,6.7,241844
The Town,2010,Crime,125,7.6,241759
Face/Off,1997,Action,138,7.3,241385
The Princess Bride,1987,Adventure,98,8.2,240602
Bruce Almighty,2003,Comedy,101,6.7,240468
Wedding Crashers,2005,Comedy,119,7.0,239453
Mission: Impossible,1996,Action,110,7.1,237711
Cloud Atlas,2012,Drama,172,7.6,237640
Signs,2002,Drama,106,6.7,237051
Terminator Salvation,2009,Action,115,6.7,236958
Up in the Air,2009,Drama,109,7.5,236878
This Is the End,2013,Comedy,107,6.8,236957
We&#x27;re the Millers,2013,Comedy,110,7.1,236361
Due Date,2010,Comedy,95,6.6,236262
Sweeney Todd: The Demon Barber of Fleet Street,2007,Drama,116,7.5,236054
Dumb &#x26; Dumber,1994,Comedy,107,7.3,236156
Platoon,1986,Drama,120,8.2,235636
The Island,2005,Action,136,6.9,235407
E.T. the Extra-Terrestrial,1982,Adventure,115,7.9,235236
Inside Man,2006,Crime,129,7.7,235124
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure,143,6.9,234732
Dead Poets Society,1989,Drama,128,8.0,233423
Beauty and the Beast,1991,Animation,84,8.1,232988
The Machinist,2004,Drama,101,7.8,232901
Yes Man,2008,Comedy,104,6.9,232510
Kung Fu Panda,2008,Animation,92,7.6,231378
50/50,2011,Comedy,100,7.8,231303
2012,2009,Action,158,5.8,231050
Home Alone,1990,Comedy,103,7.4,230998
Lucky Number Slevin,2006,Crime,110,7.8,230870
Ocean&#x27;s Twelve,2004,Crime,125,6.4,229759
The Others,2001,Drama,101,7.6,229533
The Wrestler,2008,Drama,109,7.9,228823
127 Hours,2010,Adventure,94,7.7,228855
Fast &#x26; Furious 6,2013,Action,130,7.2,228344
The Rock,1996,Action,136,7.4,228096
Zodiac,2007,Crime,157,7.7,227664
Sleepy Hollow,1999,Drama,105,7.4,225591
TRON: Legacy,2010,Action,125,6.8,225552
Equilibrium,2002,Action,107,7.6,225285
Her,2013,Drama,126,8.1,225579
Batman,1989,Action,126,7.6,224538
Man on Fire,2004,Action,146,7.8,223990
Brokeback Mountain,2005,Drama,134,7.7,223647
Unforgiven,1992,Western,131,8.3,223481
50 First Dates,2004,Comedy,99,6.8,222992
Meet the Parents,2000,Comedy,108,7.0,222718
The Fighter,2010,Biography,116,7.9,222730
Fantastic Four,2005,Action,106,5.7,222349
Fast Five,2011,Action,130,7.3,222158
The Devil Wears Prada,2006,Comedy,109,6.8,221972
Speed,1994,Action,116,7.2,221934
Scott Pilgrim vs. the World,2010,Action,112,7.5,221634
Die Hard 2,1990,Action,124,7.1,221154
Being John Malkovich,1999,Comedy,112,7.8,221088
Flight,2012,Drama,138,7.3,220786
The Cabin in the Woods,2012,Horror,95,7.1,220705
Lord of War,2005,Crime,122,7.6,219389
The Simpsons Movie,2007,Animation,87,7.4,218992
Devil&#x27;s Advocate,1997,Drama,144,7.5,218430
The Expendables,2010,Action,103,6.5,218188
Anchorman: The Legend of Ron Burgundy,2004,Comedy,94,7.3,217469
Superman Returns,2006,Action,154,6.1,217366
There&#x27;s Something About Mary,1998,Comedy,119,7.1,216988
Stand by Me,1986,Adventure,89,8.1,216958
National Treasure,2004,Action,131,6.9,216760
Dallas Buyers Club,2013,Biography,117,8.0,216581
Life of Brian,1979,Comedy,94,8.2,216426
Ghostbusters,1984,Comedy,105,7.8,216144
The Mummy Returns,2001,Action,130,6.3,214898
Amadeus,1984,Biography,160,8.4,214914
The Aviator,2004,Biography,170,7.5,214818
Unbreakable,2000,Drama,106,7.2,214506
Real Steel,2011,Action,127,7.1,214210
Magnolia,1999,Drama,188,8.0,214076
The Amazing Spider-Man 2,2014,Action,142,7.0,213872
Shooter,2007,Action,124,7.2,213270
The Game,1997,Drama,129,7.8,213198
Hotel Rwanda,2004,Drama,121,8.2,212346
The Conjuring,2013,Horror,112,7.5,212300
Babel,2006,Drama,143,7.5,211260
Burn After Reading,2008,Comedy,96,7.0,211075
Serenity,2005,Action,119,8.0,210910
Men in Black 3,2012,Action,106,6.9,210740
Hellboy,2004,Action,122,6.8,210548
The Mask,1994,Comedy,101,6.8,210339
Easy A,2010,Comedy,92,7.2,209932
Pearl Harbor,2001,Action,183,6.0,209521
Friends with Benefits,2011,Comedy,109,6.6,209100
Edge of Tomorrow,2014,Action,113,8.0,209744
Ocean&#x27;s Thirteen,2007,Crime,122,6.9,208998
Hitch,2005,Comedy,118,6.7,208871
The Fast and the Furious,2001,Action,106,6.6,208605
Salt,2010,Action,100,6.4,208445
Godzilla,2014,Action,123,6.7,208065
Men in Black II,2002,Action,88,6.0,207566
Deja Vu,2006,Action,126,7.0,207009
Tangled,2010,Animation,100,7.9,207086
Interview with the Vampire: The Vampire Chronicles,1994,Horror,123,7.6,206758
Moon,2009,Drama,97,8.0,206758
The Breakfast Club,1985,Comedy,97,7.9,206660
Hugo,2011,Adventure,126,7.6,206624
Apocalypto,2006,Action,139,7.8,206016
The Thing,1982,Horror,109,8.2,205482
Jumper,2008,Action,88,6.0,205090
The Expendables 2,2012,Action,103,6.7,204945
The Lives of Others,2006,Drama,137,8.5,204900
Ferris Bueller&#x27;s Day Off,1986,Comedy,103,7.9,204689
The Godfather: Part III,1990,Crime,162,7.6,204153
Despicable Me 2,2013,Animation,98,7.5,204209
3:10 to Yuma,2007,Adventure,122,7.8,203730
Madagascar,2005,Animation,86,6.9,203427
The Lost World: Jurassic Park,1997,Action,129,6.4,203275
The Ring,2002,Horror,115,7.1,202709
Mission: Impossible III,2006,Action,126,6.8,202683
A.I. Artificial Intelligence,2001,Adventure,146,7.1,202215
Pineapple Express,2008,Action,111,7.0,201926
