name	year	genre	runtime	rating	num_votes	img_src	revenue	director	actor1	actor2	actor3	rated
willow	1988	Action	126	7.2	72574	http://ia.media-imdb.com/images/M/MV5BMTk2MjIwODIwM15BMl5BanBnXkFtZTcwNjM1MTgyMQ@@._V1._SX54_CR0,0,54,74_.jpg	57300000	Ron Howard	Val Kilmer	Joanne Whalley	Warwick Davis	PG
the whole nine yards	2000	Comedy	98	6.7	80954	http://ia.media-imdb.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1._SX54_CR0,0,54,74_.jpg	57300000	Jonathan Lynn	Bruce Willis	Matthew Perry	Rosanna Arquette	R
next friday	2000	Comedy	98	6	21514	http://ia.media-imdb.com/images/M/MV5BMTc2NzU0NTM0M15BMl5BanBnXkFtZTcwMDI0OTEyMQ@@._V1._SX54_CR0,0,54,74_.jpg	57200000	Steve Carr	Ice Cube	Mike Epps	Justin Pierce	R
unlawful entry	1992	Crime	117	6.2	9688	http://ia.media-imdb.com/images/M/MV5BMTAxMzQwNzYyMjBeQTJeQWpwZ15BbWU3MDU3NDIzMjE@._V1._SX54_CR0,0,54,74_.jpg	57100000	Jonathan Kaplan	Kurt Russell	Ray Liotta	Madeleine Stowe	R
beethoven	1992	Comedy	87	5.5	39760	http://ia.media-imdb.com/images/M/MV5BMTIxOTUxMTY5M15BMl5BanBnXkFtZTcwNzI2NDAyMQ@@._V1._SX54_CR0,0,54,74_.jpg	57100000	Brian Levant	Charles Grodin	Bonnie Hunt	Dean Jones	PG
beaches	1988	Comedy	123	6.7	15893	http://ia.media-imdb.com/images/M/MV5BMTQ4MjA0NDcyN15BMl5BanBnXkFtZTgwNDgzOTgzMTE@._V1._SX54_CR0,0,54,74_.jpg	5.7e+07	Garry Marshall	Bette Midler	Barbara Hershey	John Heard	PG_13
escape from planet earth	2013	Animation	89	5.9	17002	http://ia.media-imdb.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1._SX54_CR0,0,54,74_.jpg	5.7e+07	Cal Brunker	Brendan Fraser	Sarah Jessica Parker	Jessica Alba	PG
memoirs of a geisha	2005	Drama	145	7.3	107945	http://ia.media-imdb.com/images/M/MV5BMTYxMzM4NTEzOV5BMl5BanBnXkFtZTcwNDMwNjQzMw@@._V1._SX54_CR0,0,54,74_.jpg	5.7e+07	Rob Marshall	Ziyi Zhang	Ken Watanabe	Michelle Yeoh	PG_13
shanghai noon	2000	Action	110	6.6	81812	http://ia.media-imdb.com/images/M/MV5BMTI0MjE2MzUwOV5BMl5BanBnXkFtZTYwMTk5NjU3._V1._SX54_CR0,0,54,74_.jpg	56900000	Tom Dey	Jackie Chan	Owen Wilson	Lucy Liu	PG_13
twelve monkeys	1995	Mystery	129	8.1	376621	http://ia.media-imdb.com/images/M/MV5BMjI4MDIxNjk2Ml5BMl5BanBnXkFtZTcwMTA3Njk3OA@@._V1._SY74_CR1,0,54,74_.jpg	56900000	Terry Gilliam	Bruce Willis	Madeleine Stowe	Brad Pitt	R
the man in the iron mask	1998	Action	132	6.4	104479	http://ia.media-imdb.com/images/M/MV5BMTczMDg2NTEyNF5BMl5BanBnXkFtZTcwMTY1ODE1NA@@._V1._SX54_CR0,0,54,74_.jpg	56900000	Randall Wallace	Leonardo DiCaprio	Jeremy Irons	John Malkovich	PG_13
midnight in paris	2011	Comedy	94	7.7	249495	http://ia.media-imdb.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1._SX54_CR0,0,54,74_.jpg	56800000	Woody Allen	Owen Wilson	Rachel McAdams	Kathy Bates	PG_13
saw v	2008	Horror	92	5.8	72972	http://ia.media-imdb.com/images/M/MV5BMTMwOTI1NjczOV5BMl5BanBnXkFtZTcwNDQ4MTQ5MQ@@._V1._SX54_CR0,0,54,74_.jpg	56700000	David Hackl	Scott Patterson	Costas Mandylor	Tobin Bell	UNRATED
american reunion	2012	Comedy	113	6.8	149636	http://ia.media-imdb.com/images/M/MV5BMTY4MTEyMzU1N15BMl5BanBnXkFtZTcwNDQ0NTc1Nw@@._V1._SX54_CR0,0,54,74_.jpg	56700000	Jon Hurwitz	Hayden Schlossberg	Jason Biggs	Alyson Hannigan	R
2001: a space odyssey	1968	Mystery	160	8.3	330846	http://ia.media-imdb.com/images/M/MV5BNDYyMDgxNDQ5Nl5BMl5BanBnXkFtZTcwMjc1ODg3OA@@._V1._SY74_CR1,0,54,74_.jpg	56700000	Stanley Kubrick	Keir Dullea	Gary Lockwood	William Sylvester	TV_PG
a civil action	1998	Drama	115	6.5	21028	http://ia.media-imdb.com/images/M/MV5BMTQyNTgzNDY3N15BMl5BanBnXkFtZTYwODkzNDc5._V1._SX54_CR0,0,54,74_.jpg	56700000	Steven Zaillian	John Travolta	Robert Duvall	Kathleen Quinlan	PG_13
the time machine	2002	Sci-Fi	96	5.9	94800	http://ia.media-imdb.com/images/M/MV5BMTkyNzY4MjcwOF5BMl5BanBnXkFtZTYwMTA3MjI3._V1._SY74_CR2,0,54,74_.jpg	56700000	Simon Wells	Guy Pearce	Yancey Arias	Mark Addy	PG_13
the time machine	1960	Adventure	103	7.6	22321	http://ia.media-imdb.com/images/M/MV5BMTYxNzUwMzQ2NF5BMl5BanBnXkFtZTgwNTAwNjk4MDE@._V1._SX54_CR0,0,54,74_.jpg	56700000	Simon Wells	Guy Pearce	Yancey Arias	Mark Addy	PG_13
12 years a slave	2013	Biography	134	8.2	279949	http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1._SX54_CR0,0,54,74_.jpg	56700000	Steve McQueen	Chiwetel Ejiofor	Michael Kenneth Williams	Michael Fassbender	R
clueless	1995	Comedy	97	6.7	95214	http://ia.media-imdb.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1._SX54_CR0,0,54,74_.jpg	56600000	Amy Heckerling	Alicia Silverstone	Stacey Dash	Brittany Murphy	PG_13
rat race	2001	Adventure	112	6.4	85706	http://ia.media-imdb.com/images/M/MV5BMTY5NTczMTQ2M15BMl5BanBnXkFtZTYwNzQ1MjQ5._V1._SX54_CR0,0,54,74_.jpg	56600000	Jerry Zucker	Breckin Meyer	Amy Smart	Whoopi Goldberg	PG_13
tombstone	1993	Action	130	7.9	82080	http://ia.media-imdb.com/images/M/MV5BMTQ3NzYwMjAyNV5BMl5BanBnXkFtZTgwMjk0NzQxMTE@._V1._SX54_CR0,0,54,74_.jpg	56500000	George P. Cosmatos	Kurt Russell	Val Kilmer	Sam Elliott	R
the queen	2006	Biography	103	7.4	73212	http://ia.media-imdb.com/images/M/MV5BMTQ3NTMxODg1Ml5BMl5BanBnXkFtZTcwMjEyMjczMQ@@._V1._SX54_CR0,0,54,74_.jpg	56400000	Stephen Frears	Helen Mirren	Michael Sheen	James Cromwell	PG_13
drumline	2002	Comedy	118	5.6	26758	http://ia.media-imdb.com/images/M/MV5BMjE1MTQ4OTg3OF5BMl5BanBnXkFtZTYwODEyMzg5._V1._SX54_CR0,0,54,74_.jpg	56400000	Charles Stone III	Nick Cannon	Zoe Saldana	Orlando Jones	PG_13
edward scissorhands	1990	Drama	105	8	299814	http://ia.media-imdb.com/images/M/MV5BOTE2NDExNjQxMF5BMl5BanBnXkFtZTgwMzQ3NzMxMDE@._V1._SX54_CR0,0,54,74_.jpg	56400000	Tim Burton	Johnny Depp	Winona Ryder	Dianne Wiest	TV_14
just married	2003	Comedy	95	5.4	50357	http://ia.media-imdb.com/images/M/MV5BMTk1MzM4NzUzNl5BMl5BanBnXkFtZTcwMDQyMDczMw@@._V1._SX54_CR0,0,54,74_.jpg	56100000	Shawn Levy	Ashton Kutcher	Brittany Murphy	Christian Kane	PG_13
the curse of the were-rabbit	2005	Animation	85	7.6	83504	http://ia.media-imdb.com/images/M/MV5BMTk1NzIwNTM1NV5BMl5BanBnXkFtZTcwMDA1NzkyMw@@._V1._SX54_CR0,0,54,74_.jpg	56100000	Steve Box	Nick Park	Peter Sallis	Helena Bonham Carter	G
primal fear	1996	Crime	129	7.7	110262	http://ia.media-imdb.com/images/M/MV5BMTk0MjkxNzczNF5BMl5BanBnXkFtZTgwMzEyNjQxMTE@._V1._SX54_CR0,0,54,74_.jpg	56100000	Gregory Hoblit	Richard Gere	Laura Linney	Edward Norton	R
13 going on 30	2004	Comedy	98	6.1	95591	http://ia.media-imdb.com/images/M/MV5BMjA1MTI3ODEwNF5BMl5BanBnXkFtZTcwOTA4NDUyMQ@@._V1._SX54_CR0,0,54,74_.jpg	5.6e+07	Gary Winick	Jennifer Garner	Mark Ruffalo	Judy Greer	PG_13
paranorman	2012	Animation	92	7	60628	http://ia.media-imdb.com/images/M/MV5BMjA1OTU1NDM3N15BMl5BanBnXkFtZTcwMjYxNTg0Nw@@._V1._SX54_CR0,0,54,74_.jpg	5.6e+07	Chris Butler	Sam Fell	Kodi Smit-McPhee	Anna Kendrick	PG
romeo must die	2000	Action	115	6	51107	http://ia.media-imdb.com/images/M/MV5BMTI5Nzg1MjA5M15BMl5BanBnXkFtZTYwNzAxNzg2._V1._SX54_CR0,0,54,74_.jpg	5.6e+07	Andrzej Bartkowiak	Jet Li	Aaliyah	Isaiah Washington	R
forever young	1992	Drama	102	6.2	31526	http://ia.media-imdb.com/images/M/MV5BMTI5MDk2MTIxNF5BMl5BanBnXkFtZTcwMjMwODAwMQ@@._V1._SY74_CR0,0,54,74_.jpg	5.6e+07	Steve Miner	Mel Gibson	Jamie Lee Curtis	Elijah Wood	PG
dracula untold	2014	Action	92	6.3	58710	http://ia.media-imdb.com/images/M/MV5BMTkzNzI1OTI4N15BMl5BanBnXkFtZTgwNTQ2NzEwMjE@._V1._SX54_CR0,0,54,74_.jpg	55900000	Gary Shore	Luke Evans	Dominic Cooper	Sarah Gadon	PG_13
white noise	2005	Drama	101	5.5	38539	http://ia.media-imdb.com/images/M/MV5BMTYzNjA2MDk0NF5BMl5BanBnXkFtZTcwNjkwODcyMQ@@._V1._SX54_CR0,0,54,74_.jpg	55900000	Geoffrey Sax	Michael Keaton	Deborah Kara Unger	Ian McNeice	PG_13
once upon a time in mexico	2003	Action	102	6.4	113406	http://ia.media-imdb.com/images/M/MV5BMTU5MDg5OTcwOV5BMl5BanBnXkFtZTcwMjI1MTIzMw@@._V1._SX54_CR0,0,54,74_.jpg	55800000	Robert Rodriguez	Antonio Banderas	Salma Hayek	Johnny Depp	R
be cool	2005	Comedy	118	5.6	54987	http://ia.media-imdb.com/images/M/MV5BMTUxNDc4MzAyNV5BMl5BanBnXkFtZTYwMzQ1NDc2._V1._SX54_CR0,0,54,74_.jpg	55800000	F. Gary Gray	John Travolta	Uma Thurman	Dwayne Johnson	PG_13
friends with benefits	2011	Comedy	109	6.6	212229	http://ia.media-imdb.com/images/M/MV5BMTQ2MzQ0NTk4N15BMl5BanBnXkFtZTcwMDc2NDYzNQ@@._V1._SX54_CR0,0,54,74_.jpg	55800000	Will Gluck	Mila Kunis	Justin Timberlake	Patricia Clarkson	R
the animal	2001	Comedy	84	4.8	41488	http://ia.media-imdb.com/images/M/MV5BMjE1OTExNTEzMV5BMl5BanBnXkFtZTYwNDQ3MDk2._V1._SX54_CR0,0,54,74_.jpg	55800000	Luke Greenfield	Rob Schneider	Colleen Haskell	John C. McGinley	R
free birds	2013	Animation	91	5.9	14219	http://ia.media-imdb.com/images/M/MV5BNjE0NjIwMzAwOF5BMl5BanBnXkFtZTgwOTIyMzMzMDE@._V1._SX54_CR0,0,54,74_.jpg	55700000	Jimmy Hayward	Woody Harrelson	Owen Wilson	Dan Fogler	PG
eyes wide shut	1999	Drama	159	7.3	193228	http://ia.media-imdb.com/images/M/MV5BMjA5NTUwNjI1N15BMl5BanBnXkFtZTYwOTE1ODc5._V1._SX54_CR0,0,54,74_.jpg	55600000	Stanley Kubrick	Tom Cruise	Nicole Kidman	Todd Field	R
snake eyes	1998	Crime	98	5.9	58217	http://ia.media-imdb.com/images/M/MV5BNzg3OTY1OTg0Ml5BMl5BanBnXkFtZTYwNDE2OTA5._V1._SX54_CR0,0,54,74_.jpg	55600000	Brian De Palma	Nicolas Cage	Gary Sinise	John Heard	R
police academy 2: their first assignment	1985	Comedy	87	5.5	31958	http://ia.media-imdb.com/images/M/MV5BMTc5NDQ4OTM0Ml5BMl5BanBnXkFtZTYwMDA2MjQ5._V1._SX54_CR0,0,54,74_.jpg	55500000	Jerry Paris	Steve Guttenberg	Bubba Smith	David Graf	PG_13
never say never again	1983	Action	134	6.2	41612	http://ia.media-imdb.com/images/M/MV5BMTM1NjgzMDkwOF5BMl5BanBnXkFtZTcwMzM4NzI0NA@@._V1._SX54_CR0,0,54,74_.jpg	55500000	Irvin Kershner	Sean Connery	Kim Basinger	Klaus Maria Brandauer	PG
never been kissed	1999	Comedy	107	6	59726	http://ia.media-imdb.com/images/M/MV5BMTQyODI1Njg3Ml5BMl5BanBnXkFtZTcwNTI0MDcyMQ@@._V1._SX54_CR0,0,54,74_.jpg	55500000	Raja Gosnell	Drew Barrymore	David Arquette	Michael Vartan	PG_13
what dreams may come	1998	Drama	113	7	74025	http://ia.media-imdb.com/images/M/MV5BMjUwNDEzMjIwOV5BMl5BanBnXkFtZTgwOTgwNTcxMTE@._V1._SX54_CR0,0,54,74_.jpg	55400000	Vincent Ward	Robin Williams	Cuba Gooding Jr.	Annabella Sciorra	PG_13
the haunting in connecticut	2009	Drama	92	5.9	42889	http://ia.media-imdb.com/images/M/MV5BMjE0NDU1NzY0OV5BMl5BanBnXkFtZTcwOTY4NTczMg@@._V1._SX54_CR0,0,54,74_.jpg	55300000	Peter Cornwell	Virginia Madsen	Martin Donovan	Elias Koteas	PG_13
star trek v: the final frontier	1989	Action	107	5.3	37213	http://ia.media-imdb.com/images/M/MV5BMjI2OTExMDQxN15BMl5BanBnXkFtZTcwOTEyNDI4OA@@._V1._SX54_CR0,0,54,74_.jpg	55200000	William Shatner	William Shatner	Leonard Nimoy	DeForest Kelley	PG
why did i get married?	2007	Comedy	113	5.5	8823	http://ia.media-imdb.com/images/M/MV5BMjAzMDM0Nzg3OV5BMl5BanBnXkFtZTcwNzMxOTI1MQ@@._V1._SX54_CR0,0,54,74_.jpg	55200000	Tyler Perry	Tyler Perry	Janet Jackson	Sharon Leal	PG_13
saw	2004	Horror	103	7.7	249629	http://ia.media-imdb.com/images/M/MV5BMjAyNTcxNzYwMV5BMl5BanBnXkFtZTgwMzQzNzM5MjE@._V1._SX54_CR0,0,54,74_.jpg	55200000	James Wan	Cary Elwes	Leigh Whannell	Danny Glover	UNRATED
i am number four	2011	Action	109	6.1	165764	http://ia.media-imdb.com/images/M/MV5BMjI0NDI1MTMyM15BMl5BanBnXkFtZTcwMDMzMTcyNA@@._V1._SX54_CR0,0,54,74_.jpg	55100000	D.J. Caruso	Alex Pettyfer	Timothy Olyphant	Dianna Agron	PG_13
halloween h20: 20 years later	1998	Horror	86	5.6	42790	http://ia.media-imdb.com/images/M/MV5BMjA1NjMyMTkwN15BMl5BanBnXkFtZTcwNDI1NzEyMQ@@._V1._SX54_CR0,0,54,74_.jpg	5.5e+07	Steve Miner	Jamie Lee Curtis	Josh Hartnett	Adam Arkin	R
the guardian	2006	Action	139	6.8	68325	http://ia.media-imdb.com/images/M/MV5BMTI0MDkzMzQ1M15BMl5BanBnXkFtZTcwMDQ3MTQzMQ@@._V1._SX54_CR0,0,54,74_.jpg	5.5e+07	Andrew Davis	Kevin Costner	Ashton Kutcher	Sela Ward	PG_13
the guardian	1990	Drama	92	5.3	3063	http://ia.media-imdb.com/images/M/MV5BMTY3NjQyMDI0MV5BMl5BanBnXkFtZTcwODcwOTAwMQ@@._V1._SX54_CR0,0,54,74_.jpg	5.5e+07	Andrew Davis	Kevin Costner	Ashton Kutcher	Sela Ward	PG_13
spawn	1997	Action	96	5.2	47034	http://ia.media-imdb.com/images/M/MV5BMTY1NzU4MzY2Ml5BMl5BanBnXkFtZTcwNzM5NzEyMQ@@._V1._SY74_CR0,0,54,74_.jpg	5.5e+07	Mark A.Z. DippÃ©	John Leguizamo	Michael Jai White	Martin Sheen	R
the jackal	1997	Action	124	6.3	78186	http://ia.media-imdb.com/images/M/MV5BMzcyMjk4NzUzMF5BMl5BanBnXkFtZTcwNjMzOTI1MQ@@._V1._SX54_CR0,0,54,74_.jpg	54900000	Michael Caton-Jones	Bruce Willis	Richard Gere	Sidney Poitier	R
doc hollywood	1991	Comedy	104	6.1	23268	http://ia.media-imdb.com/images/M/MV5BMjEzMDg5NDk1N15BMl5BanBnXkFtZTYwNDA4Mjg5._V1._SX54_CR0,0,54,74_.jpg	54800000	Michael Caton-Jones	Michael J. Fox	Julie Warner	Barnard Hughes	PG_13
ordinary people	1980	Drama	124	7.9	29948	http://ia.media-imdb.com/images/M/MV5BNTQwNTc4NzYxNl5BMl5BanBnXkFtZTgwMDEzMjEyMDE@._V1._SX54_CR0,0,54,74_.jpg	54800000	Robert Redford	Donald Sutherland	Mary Tyler Moore	Judd Hirsch	R
this means war	2012	Action	103	6.4	122453	http://ia.media-imdb.com/images/M/MV5BMTYyOTQ4MDE2MV5BMl5BanBnXkFtZTcwOTE0MTgwNw@@._V1._SX54_CR0,0,54,74_.jpg	54800000	McG	Reese Witherspoon	Chris Pine	Tom Hardy	R
project x	2012	Comedy	88	6.7	132337	http://ia.media-imdb.com/images/M/MV5BMTc1MTk0Njg4OF5BMl5BanBnXkFtZTcwODc0ODkyNw@@._V1._SX54_CR0,0,54,74_.jpg	54700000	Nima Nourizadeh	Thomas Mann	Oliver Cooper	Jonathan Daniel Brown	R
project x	1987	Comedy	108	6	7503	http://ia.media-imdb.com/images/M/MV5BMTgyOTIwMjI0MF5BMl5BanBnXkFtZTcwMTMwMDgyMQ@@._V1._SX54_CR0,0,54,74_.jpg	54700000	Nima Nourizadeh	Thomas Mann	Oliver Cooper	Jonathan Daniel Brown	R
starship troopers	1997	Action	129	7.2	193721	http://ia.media-imdb.com/images/M/MV5BOTE3MDAyNTM4OF5BMl5BanBnXkFtZTcwMTcxNDI4OA@@._V1._SX54_CR0,0,54,74_.jpg	54700000	Paul Verhoeven	Casper Van Dien	Denise Richards	Dina Meyer	R
source code	2011	Mystery	93	7.5	302889	http://ia.media-imdb.com/images/M/MV5BMTY0MTc3MzMzNV5BMl5BanBnXkFtZTcwNDE4MjE0NA@@._V1._SX54_CR0,0,54,74_.jpg	54700000	Duncan Jones	Jake Gyllenhaal	Michelle Monaghan	Vera Farmiga	PG_13
the omen	1976	Horror	111	7.6	67239	http://ia.media-imdb.com/images/M/MV5BODE2ODQ5MzYyNl5BMl5BanBnXkFtZTgwODc1Mjc1MDE@._V1._SX54_CR0,0,54,74_.jpg	54600000	John Moore	Liev Schreiber	Julia Stiles	Seamus Davey-Fitzpatrick	TV_14
the omen	2006	Horror	110	5.5	44123	http://ia.media-imdb.com/images/M/MV5BMTM5Nzg1MDUxNV5BMl5BanBnXkFtZTcwNzA5MjA0MQ@@._V1._SX54_CR0,0,54,74_.jpg	54600000	John Moore	Liev Schreiber	Julia Stiles	Seamus Davey-Fitzpatrick	TV_14
crash	2004	Drama	112	7.9	321964	http://ia.media-imdb.com/images/M/MV5BOTk1OTA1MjIyNV5BMl5BanBnXkFtZTcwODQxMTkyMQ@@._V1._SX54_CR0,0,54,74_.jpg	54600000	Paul Haggis	Don Cheadle	Sandra Bullock	Thandie Newton	UNRATED
crash	1996	Drama	100	6.3	36580	http://ia.media-imdb.com/images/M/MV5BMTY4NTU1MDk5OV5BMl5BanBnXkFtZTgwMDE2MDE3MTE@._V1._SX54_CR0,0,54,74_.jpg	54600000	Paul Haggis	Don Cheadle	Sandra Bullock	Thandie Newton	UNRATED
the woman in black	2012	Drama	95	6.5	113511	http://ia.media-imdb.com/images/M/MV5BMjEwMzIxOTg3N15BMl5BanBnXkFtZTcwMjI4ODUzNw@@._V1._SX54_CR0,0,54,74_.jpg	54300000	James Watkins	Daniel Radcliffe	Janet McTeer	CiarÃ¡n Hinds	PG_13
evil dead	2013	Horror	91	6.5	103415	http://ia.media-imdb.com/images/M/MV5BNTQ3OTkwNTgyN15BMl5BanBnXkFtZTcwNTAzOTAzOQ@@._V1._SX54_CR0,0,54,74_.jpg	54200000	Fede Alvarez	Jane Levy	Shiloh Fernandez	Jessica Lucas	R
the hundred-foot journey	2014	Comedy	122	7.4	18420	http://ia.media-imdb.com/images/M/MV5BMTQ3Mjg2MTE4M15BMl5BanBnXkFtZTgwMzcyNDMwMjE@._V1._SX54_CR0,0,54,74_.jpg	54200000	Lasse HallstrÃ¶m	Helen Mirren	Om Puri	Manish Dayal	PG
the count of monte cristo	2002	Action	131	7.7	91779	http://ia.media-imdb.com/images/M/MV5BMTg2MTQwMDk4OF5BMl5BanBnXkFtZTYwNzM4NTA5._V1._SX54_CR0,0,54,74_.jpg	54200000	Kevin Reynolds	Jim Caviezel	Guy Pearce	Richard Harris	PG_13
the abyss	1989	Adventure	139	7.6	114135	http://ia.media-imdb.com/images/M/MV5BMTIwMDA4MTEzMF5BMl5BanBnXkFtZTcwMTcxMTU1MQ@@._V1._SX54_CR0,0,54,74_.jpg	54200000	James Cameron	Ed Harris	Mary Elizabeth Mastrantonio	Michael Biehn	PG_13
la bamba	1987	Biography	108	6.8	18956	http://ia.media-imdb.com/images/M/MV5BMTk4NTk0NTMyNV5BMl5BanBnXkFtZTcwMTc1NzgxMQ@@._V1._SX54_CR0,0,54,74_.jpg	54200000	Luis Valdez	Lou Diamond Phillips	Esai Morales	Rosanna DeSoto	PG_13
the blues brothers	1980	Action	133	8	121871	http://ia.media-imdb.com/images/M/MV5BMTM4MjYwMTk5M15BMl5BanBnXkFtZTYwNTQzMTI5._V1._SX54_CR0,0,54,74_.jpg	54200000	John Landis	John Belushi	Dan Aykroyd	Cab Calloway	R
tmnt	2007	Animation	87	6.4	49440	http://ia.media-imdb.com/images/M/MV5BMjE1MzcwNTE5OV5BMl5BanBnXkFtZTcwMTIxNzQ0MQ@@._V1._SX54_CR0,0,54,74_.jpg	54100000	Kevin Munroe	Patrick Stewart	Mako	Chris Evans	PG
final destination 3	2006	Horror	93	5.8	86501	http://ia.media-imdb.com/images/M/MV5BMTg2MzI0MzczOF5BMl5BanBnXkFtZTcwNzAyODExMw@@._V1._SX54_CR0,0,54,74_.jpg	54100000	James Wong	Mary Elizabeth Winstead	Ryan Merriman	Kris Lemche	R
the verdict	1982	Drama	129	7.8	22047	http://ia.media-imdb.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1._SX54_CR0,0,54,74_.jpg	5.4e+07	Sidney Lumet	Paul Newman	Charlotte Rampling	Jack Warden	R
insidious	2010	Drama	103	6.8	148111	http://ia.media-imdb.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1._SX54_CR0,0,54,74_.jpg	5.4e+07	James Wan	Patrick Wilson	Rose Byrne	Ty Simpkins	PG_13
small soldiers	1998	Action	108	6.1	69876	http://ia.media-imdb.com/images/M/MV5BMTI5NjE4NzM4OF5BMl5BanBnXkFtZTcwMTc5MDEzMQ@@._V1._SX54_CR0,0,54,74_.jpg	5.4e+07	Joe Dante	Kirsten Dunst	Gregory Smith	David Cross	PG_13
the three musketeers	2011	Action	110	5.8	77828	http://ia.media-imdb.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1._SX54_CR0,0,54,74_.jpg	53900000	Stephen Herek	Charlie Sheen	Kiefer Sutherland	Chris O'Donnell	PG
the three musketeers	1993	Action	105	6.3	36677	http://ia.media-imdb.com/images/M/MV5BMjExNzg2NTU3MV5BMl5BanBnXkFtZTYwMDY4MDk5._V1._SX54_CR0,0,54,74_.jpg	53900000	Stephen Herek	Charlie Sheen	Kiefer Sutherland	Chris O'Donnell	PG
the three musketeers	1973	Action	105	7.3	10840	http://ia.media-imdb.com/images/M/MV5BMTM0MTcxNTg5NF5BMl5BanBnXkFtZTYwMzYyNTQ5._V1._SX54_CR0,0,54,74_.jpg	53900000	Stephen Herek	Charlie Sheen	Kiefer Sutherland	Chris O'Donnell	PG
paranormal activity 4	2012	Horror	88	4.5	42206	http://ia.media-imdb.com/images/M/MV5BNjAxMzM0MjYwM15BMl5BanBnXkFtZTcwMjMwMjAyOA@@._V1._SX54_CR0,0,54,74_.jpg	53900000	Henry Joost	Ariel Schulman	Stephen Dunham	Katie Featherston	R
austin powers: international man of mystery	1997	Comedy	94	7	157309	http://ia.media-imdb.com/images/M/MV5BOTY3NTI0MDM2MV5BMl5BanBnXkFtZTgwOTc0NzQxMTE@._V1._SX54_CR0,0,54,74_.jpg	53900000	Jay Roach	Mike Myers	Elizabeth Hurley	Michael York	TV_14
tin cup	1996	Comedy	135	6.3	33429	http://ia.media-imdb.com/images/M/MV5BMTQ4Mjk4OTg0NV5BMl5BanBnXkFtZTcwOTIwMDcyMQ@@._V1._SX54_CR0,0,54,74_.jpg	53900000	Ron Shelton	Kevin Costner	Rene Russo	Don Johnson	R
paycheck	2003	Action	119	6.3	81584	http://ia.media-imdb.com/images/M/MV5BMTczMzU5NDk4MV5BMl5BanBnXkFtZTYwNDQxNzc3._V1._SX54_CR0,0,54,74_.jpg	53800000	John Woo	Ben Affleck	Aaron Eckhart	Uma Thurman	PG_13
rambo iii	1988	Action	102	5.6	74757	http://ia.media-imdb.com/images/M/MV5BMTM2ODg0OTQzNF5BMl5BanBnXkFtZTcwMDk2MDcyMQ@@._V1._SX54_CR0,0,54,74_.jpg	53700000	Peter MacDonald	Sylvester Stallone	Richard Crenna	Marc de Jonge	R
p.s. i love you	2007	Drama	126	7	136722	http://ia.media-imdb.com/images/M/MV5BNTg2MDg4MjI5NV5BMl5BanBnXkFtZTcwMzQ0MDczMw@@._V1._SX54_CR0,0,54,74_.jpg	53700000	Richard LaGravenese	Hilary Swank	Gerard Butler	Harry Connick Jr.	PG_13
hero	2002	Action	99	7.9	135416	http://ia.media-imdb.com/images/M/MV5BMTk5NjQyMzIwM15BMl5BanBnXkFtZTcwODQyNjYyMQ@@._V1._SX54_CR0,0,54,74_.jpg	53600000	Yimou Zhang	Jet Li	Tony Chiu Wai Leung	Maggie Cheung	PG_13
hero	1992	Comedy	119	6.4	16136	http://ia.media-imdb.com/images/M/MV5BMTU5ODg4MDMxOV5BMl5BanBnXkFtZTcwMjQ4NzEyMQ@@._V1._SX54_CR0,0,54,74_.jpg	53600000	Yimou Zhang	Jet Li	Tony Chiu Wai Leung	Maggie Cheung	PG_13
rookie of the year	1993	Comedy	103	5.8	14764	http://ia.media-imdb.com/images/M/MV5BODE3MzQzNDIyOF5BMl5BanBnXkFtZTcwMzI3MDU1MQ@@._V1._SY74_CR1,0,54,74_.jpg	53600000	Daniel Stern	Thomas Ian Nicholas	Gary Busey	Albert Hall	PG
3:10 to yuma	2007	Adventure	122	7.8	205814	http://ia.media-imdb.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1._SX54_CR0,0,54,74_.jpg	53600000	James Mangold	Russell Crowe	Christian Bale	Ben Foster	R
3:10 to yuma	1957	Drama	92	7.6	13061	http://ia.media-imdb.com/images/M/MV5BMTk5MTQwNDA4N15BMl5BanBnXkFtZTcwMjk1MDQyOQ@@._V1._SX54_CR0,0,54,74_.jpg	53600000	James Mangold	Russell Crowe	Christian Bale	Ben Foster	R
