name	year	genre	runtime	rating	num_votes	img_src	revenue	director	actor1	actor2	actor3	rated
harry potter and the deathly hallows: part 2	2011	Adventure	130	8.1	402273	http://ia.media-imdb.com/images/M/MV5BMTY2MTk3MDQ1N15BMl5BanBnXkFtZTcwMzI4NzA2NQ@@._V1._SX54_CR0,0,54,74_.jpg	3.81e+08	David Yates	Daniel Radcliffe	Emma Watson	Rupert Grint	PG_13
finding nemo	2003	Animation	100	8.2	512136	http://ia.media-imdb.com/images/M/MV5BMTY1MTg1NDAxOV5BMl5BanBnXkFtZTcwMjg1MDI5Nw@@._V1._SX54_CR0,0,54,74_.jpg	3.81e+08	Andrew Stanton	Lee Unkrich	Albert Brooks	Ellen DeGeneres	G
star wars: episode iii - revenge of the sith	2005	Action	140	7.7	397663	http://ia.media-imdb.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1._SY74_CR1,0,54,74_.jpg	3.8e+08	George Lucas	Hayden Christensen	Natalie Portman	Ewan McGregor	PG_13
the lord of the rings: the return of the king	2003	Adventure	201	8.9	951790	http://ia.media-imdb.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1._SX54_CR0,0,54,74_.jpg	3.77e+08	Peter Jackson	Elijah Wood	Viggo Mortensen	Ian McKellen	PG_13
spider-man 2	2004	Action	127	7.4	314548	http://ia.media-imdb.com/images/M/MV5BMjE0Njc1NDYzN15BMl5BanBnXkFtZTcwNjAxMzYyMQ@@._V1._SX54_CR0,0,54,74_.jpg	3.73e+08	Sam Raimi	Tobey Maguire	Kirsten Dunst	Alfred Molina	PG_13
despicable me 2	2013	Animation	98	7.5	208764	http://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1._SX54_CR0,0,54,74_.jpg	3.68e+08	Pierre Coffin	Chris Renaud	Steve Carell	Kristen Wiig	PG
transformers: dark of the moon	2011	Action	154	6.3	272370	http://ia.media-imdb.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1._SX54_CR0,0,54,74_.jpg	3.52e+08	Michael Bay	Shia LaBeouf	Rosie Huntington-Whiteley	Tyrese Gibson	PG_13
the lord of the rings: the two towers	2002	Adventure	179	8.8	856291	http://ia.media-imdb.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1._SX54_CR0,0,54,74_.jpg	3.4e+08	Peter Jackson	Elijah Wood	Ian McKellen	Viggo Mortensen	PG_13
spider-man 3	2007	Action	139	6.2	297734	http://ia.media-imdb.com/images/M/MV5BODUwMDc5Mzc5M15BMl5BanBnXkFtZTcwNDgzOTY0MQ@@._V1._SX54_CR0,0,54,74_.jpg	3.37e+08	Sam Raimi	Tobey Maguire	Kirsten Dunst	Topher Grace	PG_13
alice in wonderland	2010	Adventure	108	6.5	251531	http://ia.media-imdb.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1._SX54_CR0,0,54,74_.jpg	3.34e+08	Tim Burton	Mia Wasikowska	Johnny Depp	Helena Bonham Carter	PG
alice in wonderland	1951	Animation	75	7.4	78441	http://ia.media-imdb.com/images/M/MV5BMTgyMjM2NTAxMF5BMl5BanBnXkFtZTgwNjU1NDc2MTE@._V1._SX54_CR0,0,54,74_.jpg	3.34e+08	Tim Burton	Mia Wasikowska	Johnny Depp	Helena Bonham Carter	PG
