Blade Runner,1982,Sci-Fi,117,8.2,379555
Trainspotting,1996,Drama,94,8.2,378921
The Pianist,2002,Biography,150,8.5,375090
Twelve Monkeys,1995,Mystery,129,8.1,374915
Pan&#x27;s Labyrinth,2006,Drama,118,8.3,374600
Full Metal Jacket,1987,Drama,116,8.4,374193
The Social Network,2010,Biography,120,7.8,373370
Million Dollar Baby,2004,Drama,132,8.1,373240
Shrek,2001,Animation,90,7.9,372692
The King&#x27;s Speech,2010,Biography,118,8.1,372341
The Incredibles,2004,Animation,115,8.0,372243
Casino Royale,2006,Action,144,8.0,371893
The Curious Case of Benjamin Button,2008,Drama,166,7.8,371871
Ted,2012,Comedy,106,7.1,371556
Ratatouille,2007,Animation,111,8.0,370598
Apocalypse Now,1979,Drama,153,8.5,365086
The Hunger Games: Catching Fire,2013,Adventure,146,7.7,364993
Drive,2011,Crime,100,7.8,364434
The Matrix Reloaded,2003,Action,138,7.2,363600
Kick-Ass,2010,Action,117,7.8,360245
Superbad,2007,Comedy,113,7.6,359154
Harry Potter and the Sorcerer&#x27;s Stone,2001,Adventure,152,7.5,356744
Independence Day,1996,Action,145,6.9,355527
The Amazing Spider-Man,2012,Action,136,7.1,355362
X-Men,2000,Action,104,7.4,353923
Heat,1995,Action,170,8.3,353823
Argo,2012,Drama,120,7.8,352942
Fargo,1996,Crime,98,8.2,350812
Star Wars: Episode II - Attack of the Clones,2002,Action,142,6.8,350547
Juno,2007,Comedy,96,7.6,349600
World War Z,2013,Action,116,7.0,348455
The Intouchables,2011,Biography,112,8.6,348381
How to Train Your Dragon,2010,Animation,98,8.2,347923
Captain America: The First Avenger,2011,Action,124,6.8,347778
L.A. Confidential,1997,Crime,138,8.3,346020
Looper,2012,Action,119,7.5,345363
Groundhog Day,1993,Comedy,101,8.1,342901
The Hobbit: The Desolation of Smaug,2013,Adventure,161,8.0,338901
Now You See Me,2013,Crime,115,7.3,337728
Rain Man,1988,Drama,133,8.0,336105
Life of Pi,2012,Adventure,127,8.0,336199
Minority Report,2002,Action,145,7.7,336008
Lock Stock and Two Smoking Barrels,1998,Comedy,107,8.2,335846
12 Angry Men,1957,Drama,96,8.9,334321
Psycho,1960,Horror,109,8.6,331129
Limitless,2011,Mystery,105,7.4,330743
The Bourne Identity,2002,Action,119,7.9,329325
Into the Wild,2007,Adventure,148,8.2,329193
2001: A Space Odyssey,1968,Mystery,160,8.3,328779
Shaun of the Dead,2004,Comedy,99,8.0,328455
Rise of the Planet of the Apes,2011,Action,105,7.6,328480
Blood Diamond,2006,Adventure,143,8.0,326300
Watchmen,2009,Action,162,7.6,325071
X2,2003,Action,134,7.5,324604
Ocean&#x27;s Eleven,2001,Crime,116,7.8,324344
Men in Black,1997,Comedy,98,7.2,323064
Jaws,1975,Drama,124,8.1,321852
Crash,2004,Drama,112,7.9,321061
Star Trek Into Darkness,2013,Action,132,7.9,319904
The Notebook,2004,Drama,123,8.0,319338
Crazy Stupid Love.,2011,Comedy,118,7.5,315452
Cast Away,2000,Adventure,143,7.7,314604
Children of Men,2006,Drama,109,7.9,313927
The Matrix Revolutions,2003,Action,129,6.7,313425
Big Fish,2003,Adventure,125,8.0,312537
Spider-Man 2,2004,Action,127,7.4,312587
Harry Potter and the Chamber of Secrets,2002,Adventure,161,7.3,312100
Spirited Away,2001,Animation,125,8.6,311740
Harry Potter and the Goblet of Fire,2005,Adventure,157,7.6,311333
Monty Python and the Holy Grail,1975,Adventure,91,8.4,310823
Zombieland,2009,Comedy,88,7.7,309107
21 Jump Street,2012,Action,109,7.2,308156
Life Is Beautiful,1997,Comedy,116,8.6,306238
(500) Days of Summer,2009,Comedy,95,7.8,305855
Harry Potter and the Prisoner of Azkaban,2004,Adventure,142,7.8,305752
Troy,2004,Adventure,163,7.2,305760
Toy Story 2,1999,Animation,92,7.9,304142
I Robot,2004,Action,115,7.1,303108
X-Men: The Last Stand,2006,Action,104,6.8,302756
The Hangover Part II,2011,Comedy,102,6.5,301446
Interstellar,2014,Adventure,169,8.9,304952
Source Code,2011,Mystery,93,7.5,301182
Twilight,2008,Drama,122,5.2,300738
Little Miss Sunshine,2006,Adventure,101,7.9,299006
X-Men: Days of Future Past,2014,Action,131,8.2,299592
Edward Scissorhands,1990,Drama,105,8.0,298722
Mission: Impossible - Ghost Protocol,2011,Action,133,7.4,298170
There Will Be Blood,2007,Drama,158,8.1,298154
Guardians of the Galaxy,2014,Action,121,8.3,298286
Spider-Man 3,2007,Action,139,6.2,296013
The Butterfly Effect,2004,Sci-Fi,113,7.7,295770
Live Free or Die Hard,2007,Action,128,7.3,295131
Mystic River,2003,Crime,138,8.0,294571
Pacific Rim,2013,Action,132,7.0,294462
Oblivion,2013,Action,124,7.0,292189
American Psycho,2000,Crime,102,7.6,291212
Pirates of the Caribbean: On Stranger Tides,2011,Action,136,6.7,290545
Hot Fuzz,2007,Comedy,121,7.9,289580
Horrible Bosses,2011,Comedy,98,6.9,288241
American Gangster,2007,Biography,157,7.8,286688
Harry Potter and the Order of the Phoenix,2007,Adventure,138,7.4,285949
Frozen,2013,Animation,102,7.7,285037
The Fifth Element,1997,Action,126,7.6,284519
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,95,8.5,284226
Captain America: The Winter Soldier,2014,Action,136,7.9,283658
Thor: The Dark World,2013,Action,112,7.2,282818
Despicable Me,2010,Animation,95,7.7,282388
The Bourne Supremacy,2004,Action,108,7.8,278623
The Great Gatsby,2013,Drama,143,7.3,278522
War of the Worlds,2005,Adventure,116,6.5,277862
Lost in Translation,2003,Drama,101,7.8,276449
Rocky,1976,Drama,119,8.1,276169
12 Years a Slave,2013,Biography,134,8.2,276179
Oldboy,2003,Drama,120,8.4,275896
The Mummy,1999,Action,125,7.0,275377
The Pursuit of Happyness,2006,Biography,117,7.9,275172
Indiana Jones and the Kingdom of the Crystal Skull,2008,Action,122,6.3,274881
Armageddon,1998,Action,151,6.6,274591
American Pie,1999,Comedy,95,7.0,273815
The Girl with the Dragon Tattoo,2011,Crime,158,7.9,273790
X-Men Origins: Wolverine,2009,Action,107,6.7,273384
King Kong,2005,Action,187,7.3,272689
The Day After Tomorrow,2004,Action,124,6.4,272726
Transformers: Dark of the Moon,2011,Action,154,6.3,271251
The Perks of Being a Wallflower,2012,Drama,102,8.1,270728
Mr. &#x26; Mrs. Smith,2005,Action,120,6.5,268783
The Incredible Hulk,2008,Action,112,6.9,267158
Sherlock Holmes: A Game of Shadows,2011,Action,129,7.5,266497
Transformers: Revenge of the Fallen,2009,Action,150,6.0,266425
American Hustle,2013,Crime,138,7.4,265637
Love Actually,2003,Comedy,135,7.7,265318
The Hurt Locker,2008,Drama,131,7.6,264380
The Last Samurai,2003,Action,154,7.7,264144
Hancock,2008,Action,92,6.5,263560
Casino,1995,Biography,178,8.2,261796
In Bruges,2008,Comedy,107,8.0,261530
Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,146,7.7,260563
Quantum of Solace,2008,Action,106,6.7,260331
Tropic Thunder,2008,Action,107,7.0,259318
The 40-Year-Old Virgin,2005,Comedy,116,7.2,258432
Knocked Up,2007,Comedy,129,7.1,258332
The Da Vinci Code,2006,Mystery,149,6.5,258020
Ice Age,2002,Animation,81,7.6,258008
Wanted,2008,Action,110,6.7,257942
Gangs of New York,2002,Crime,167,7.5,257388
Borat,2006,Comedy,84,7.3,256740
Charlie and the Chocolate Factory,2005,Adventure,115,6.7,256618
Collateral,2004,Crime,120,7.6,256367
Training Day,2001,Crime,122,7.7,256288
Indiana Jones and the Temple of Doom,1984,Action,118,7.6,254157
The Help,2011,Drama,146,8.1,253729
Die Hard: With a Vengeance,1995,Action,131,7.6,253353
Harry Potter and the Half-Blood Prince,2009,Adventure,153,7.5,253156
Rear Window,1954,Mystery,112,8.6,252476
Captain Phillips,2013,Biography,134,7.9,251963
28 Days Later...,2002,Horror,113,7.6,251829
Super 8,2011,Mystery,112,7.1,251482
Warrior,2011,Drama,140,8.2,250831
Alice in Wonderland,2010,Adventure,108,6.5,250480
Prisoners,2013,Crime,153,8.1,249404
Saw,2004,Horror,103,7.7,248841
Shrek 2,2004,Animation,93,7.3,248737
Midnight in Paris,2011,Comedy,94,7.7,248339
Cloverfield,2008,Action,85,7.1,247256
Elysium,2013,Action,109,6.7,247409
Back to the Future Part II,1989,Adventure,108,7.8,247016
The Exorcist,1973,Horror,122,8.0,246546
Black Hawk Down,2001,Drama,144,7.7,246474
The Wolverine,2013,Action,126,6.8,245885
The Italian Job,2003,Action,111,7.0,245242
The Illusionist,2006,Drama,110,7.6,245225
Moneyball,2011,Biography,133,7.6,244904
The Terminal,2004,Comedy,128,7.3,244886
Predator,1987,Action,107,7.9,244708
Terminator 3: Rise of the Machines,2003,Action,109,6.4,244342
In Time,2011,Action,109,6.7,244079
The Town,2010,Crime,125,7.6,242892
Face/Off,1997,Action,138,7.3,242808
Bruce Almighty,2003,Comedy,101,6.7,242569
The Princess Bride,1987,Adventure,98,8.2,242002
Wedding Crashers,2005,Comedy,119,7.0,241020
Dumb &#x26; Dumber,1994,Comedy,107,7.3,240948
This Is the End,2013,Comedy,107,6.8,239711
We&#x27;re the Millers,2013,Comedy,110,7.1,239591
Mission: Impossible,1996,Action,110,7.1,239424
Cloud Atlas,2012,Drama,172,7.6,239392
Signs,2002,Drama,106,6.7,238024
Terminator Salvation,2009,Action,115,6.7,237976
Up in the Air,2009,Drama,109,7.5,237909
Due Date,2010,Comedy,95,6.6,237814
Sweeney Todd: The Demon Barber of Fleet Street,2007,Drama,116,7.5,237595
Platoon,1986,Drama,120,8.2,237229
E.T. the Extra-Terrestrial,1982,Adventure,115,7.9,236832
The Island,2005,Action,136,6.9,236411
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,2005,Adventure,143,6.9,236222
Inside Man,2006,Crime,129,7.7,236119
Beauty and the Beast,1991,Animation,84,8.1,235178
Dead Poets Society,1989,Drama,128,8.0,234852
The Machinist,2004,Drama,101,7.8,234358
Yes Man,2008,Comedy,104,6.9,233901
Home Alone,1990,Comedy,103,7.4,233744
Kung Fu Panda,2008,Animation,92,7.6,233623
2012,2009,Action,158,5.8,232870
50/50,2011,Comedy,100,7.8,232669
Her,2013,Drama,126,8.1,232544
Lucky Number Slevin,2006,Crime,110,7.8,231763
Ocean&#x27;s Twelve,2004,Crime,125,6.4,231660
The Others,2001,Horror,101,7.6,230590
127 Hours,2010,Adventure,94,7.7,230581
Fast &#x26; Furious 6,2013,Action,130,7.2,230101
Zodiac,2007,Crime,157,7.7,229896
The Wrestler,2008,Drama,109,7.9,229594
The Rock,1996,Action,136,7.4,229055
Sleepy Hollow,1999,Drama,105,7.4,226788
TRON: Legacy,2010,Action,125,6.8,226674
Equilibrium,2002,Action,107,7.6,226504
Batman,1989,Action,126,7.6,226128
Man on Fire,2004,Action,146,7.8,225300
Unforgiven,1992,Western,131,8.3,225060
Brokeback Mountain,2005,Drama,134,7.7,224769
The Fighter,2010,Biography,116,7.9,224626
50 First Dates,2004,Comedy,99,6.8,224315
Meet the Parents,2000,Comedy,108,7.0,223989
The Devil Wears Prada,2006,Comedy,109,6.8,223964
Fantastic Four,2005,Action,106,5.7,223873
Fast Five,2011,Action,130,7.3,223676
Edge of Tomorrow,2014,Action,113,8.0,224258
Speed,1994,Action,116,7.2,223326
Scott Pilgrim vs. the World,2010,Action,112,7.5,223335
The Cabin in the Woods,2012,Comedy,95,7.1,222721
Being John Malkovich,1999,Comedy,112,7.8,222278
Die Hard 2,1990,Action,124,7.1,222309
Flight,2012,Drama,138,7.3,222154
Dallas Buyers Club,2013,Biography,117,8.0,221335
Lord of War,2005,Crime,122,7.6,220264
The Simpsons Movie,2007,Animation,87,7.4,220207
The Expendables,2010,Action,103,6.5,220182
Devil&#x27;s Advocate,1997,Drama,144,7.5,219708
Anchorman: The Legend of Ron Burgundy,2004,Comedy,94,7.3,219171
The Amazing Spider-Man 2,2014,Action,142,7.0,219091
Stand by Me,1986,Adventure,89,8.1,218695
There&#x27;s Something About Mary,1998,Comedy,119,7.1,218095
Superman Returns,2006,Action,154,6.1,217980
Life of Brian,1979,Comedy,94,8.2,217972
National Treasure,2004,Action,131,6.9,217942
Ghostbusters,1984,Comedy,105,7.8,217360
Amadeus,1984,Biography,160,8.4,216428
The Aviator,2004,Biography,170,7.5,216340
The Mummy Returns,2001,Action,130,6.3,215693
Unbreakable,2000,Drama,106,7.2,215339
The Conjuring,2013,Horror,112,7.5,215310
Real Steel,2011,Action,127,7.1,215186
Magnolia,1999,Drama,188,8.0,214873
Shooter,2007,Action,124,7.2,214790
The Game,1997,Drama,129,7.8,214707
